Fold,Hyperparameters,Train Losses,Val Losses,Val Accuracy,Val Precision,Val Recall,Val F1,Time Taken,Early Stop Epoch
1,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1169952683212365, 1.840298581135899, 1.7892105334388082, 1.7625863430151063, 1.7320359202302065, 1.709938318012565, 1.7024865037004298, 1.6936886334438361, 1.6812867573634016, 1.6733965485231719, 1.6767008079420989, 1.6767593454774534, 1.6688937051482107, 1.6758393137413587, 1.6607047532618207, 1.6496398263260166, 1.6530245971578665, 1.6415467240856274, 1.652992721086791, 1.6478578103883283, 1.653219508931865, 1.6487920587859437, 1.6408369937162006, 1.6313482912376132, 1.6514890035245195, 1.6446600646211398, 1.644451335970396, 1.6428843211001745, 1.6382741061157942, 1.6284865815994471, 1.6188256446026796, 1.635536886509357, 1.6298556867996639, 1.631073192792492, 1.629055637188718, 1.6372795001579823, 1.6420031707616378, 1.6247059274488995, 1.6316417075924896, 1.6351522341539695, 1.6276191864735103, 1.629441260464137, 1.6249588750666621, 1.6229905606455235, 1.6439164655056329, 1.6276901919858098, 1.6329595397512062, 1.6167084148823634, 1.622953594513554, 1.625702270154829]","[1.9229605369893314, 1.8291470963151266, 1.7797206539516564, 1.7532544472760274, 1.7351829504941298, 1.7198548003850163, 1.7113913972864805, 1.700602557600336, 1.6968864906727075, 1.6931713199463339, 1.6841373453570927, 1.6859355348105527, 1.6798364450186596, 1.6776348142085256, 1.6716319875377037, 1.6719071891943138, 1.671882798644546, 1.664318860144879, 1.6675479673215596, 1.6654531424651868, 1.6611779542124998, 1.6621835715308506, 1.6616942780405115, 1.6612053730659875, 1.6576174350721078, 1.6579680127936098, 1.6569992412967054, 1.6560582895930303, 1.6549679450152286, 1.6550082221146902, 1.6475016065596353, 1.6519209502746388, 1.6520218897839447, 1.6492770969866444, 1.6511742225673829, 1.6505683152158712, 1.6519880660738766, 1.6500747208846442, 1.6542213332274205, 1.647935459215752, 1.6496496135984693, 1.6466687017460835, 1.6457463970098571, 1.651139235082432, 1.6466648001848885, 1.645369936552931, 1.645454161520618, 1.6432257345840575, 1.6469382928914222, 1.647576946775733]",0.4344,0.43053334048256076,0.43494037967511057,0.4266795811219234,61.51683568954468,
2,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1069266207189488, 1.868112694628138, 1.80909136601834, 1.7771949456224212, 1.7351139391877055, 1.7232856357944344, 1.7097009340158107, 1.7047024407861573, 1.6848121408384145, 1.6950497607829949, 1.6898915542019974, 1.6709387559335518, 1.6734807058847354, 1.679709870201908, 1.6622752305312392, 1.6772124154936587, 1.6645017643460212, 1.667470583812391, 1.662498369180739, 1.648645049542439, 1.642837069330647, 1.6500614304170982, 1.6472366190019496, 1.6401684199316757, 1.6386943159893492, 1.637800349156238, 1.645646928215825, 1.646279218863803, 1.6411442929147206, 1.6430773420570663, 1.6389029798281003, 1.631398727215281, 1.6343828353680752, 1.6301002227214094, 1.6280392741040977, 1.6191608265686115, 1.643414653399533, 1.6312243858365783, 1.6374581134396042, 1.632092992179377, 1.618849968196273, 1.6336035621842473, 1.6235860660649546, 1.6263899072440153, 1.627448535004855, 1.6290740479848111, 1.6279105583606608, 1.6219317638790265, 1.6224090323397564, 1.6282777478048116]","[1.9352463187934092, 1.8388609718516986, 1.793997567722857, 1.7663957968918065, 1.74885263453348, 1.7325158124417395, 1.7223690667673757, 1.716330647348318, 1.7023789799388658, 1.6973344228152019, 1.6953688647838863, 1.6904124197288715, 1.6884161932232644, 1.686027216650993, 1.6811735829677783, 1.6762183945910838, 1.6724237477774775, 1.674055171131882, 1.6730176599250186, 1.6676091719305266, 1.6663675173585442, 1.6609464794220787, 1.6590810875168331, 1.6571201993342608, 1.6568491095795317, 1.6569425047124722, 1.6559805545550437, 1.6535891247944396, 1.6520619513557824, 1.6529304506945075, 1.6534078429466192, 1.6470206752961367, 1.6496693480488902, 1.651272509042205, 1.647248225844104, 1.6432993136570142, 1.6458317476764015, 1.647667040965733, 1.6477656672917451, 1.6462358030480144, 1.6435130259833974, 1.6404249513325384, 1.6435734002578033, 1.6427972499535535, 1.6422612232842446, 1.6423103150077953, 1.6434335321743787, 1.6416122701828824, 1.6385189506072715, 1.6379109865023544]",0.435,0.4303198298917591,0.43440922819903516,0.427946056747631,60.787532329559326,
3,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.094495124579196, 1.856673659599212, 1.7898920103509492, 1.7570156047740757, 1.7300180445727857, 1.7161561839892834, 1.6898892633894718, 1.6956840325252909, 1.6976078700908133, 1.6792995966464865, 1.6686245576870489, 1.6604344262396038, 1.656505430088789, 1.66014611548033, 1.6525521689915539, 1.6555114491949607, 1.6492658727767373, 1.653041452973905, 1.6486321005604123, 1.6460871738504745, 1.6263480398101111, 1.6399477384456194, 1.638494639505877, 1.6550646237953919, 1.628054894054818, 1.634399042273404, 1.6320355502987527, 1.6255492728592924, 1.6278894679194507, 1.624692010512798, 1.6245546384089788, 1.6203942364862454, 1.6305681157524432, 1.6170285902906933, 1.6127141763640012, 1.6258919392600215, 1.6218371039902733, 1.6240503752208189, 1.619328120227983, 1.6170878838461045, 1.6149558512912896, 1.614215187736145, 1.6214541965479141, 1.621354861082679, 1.6127195706391266, 1.6148358037080242, 1.613431849928646, 1.621110182371698, 1.6178166682250332, 1.6143953183020479]","[1.9440817716272643, 1.8458698945732748, 1.802431137469913, 1.7719667248641138, 1.7535443858732935, 1.7379989169627121, 1.724696031125854, 1.7169674084977675, 1.7162785457685141, 1.7087012034960394, 1.704371744566685, 1.6999933663987605, 1.6942959282387382, 1.700302455697945, 1.691056454430085, 1.6941314592905805, 1.6863536827156735, 1.6883551164158155, 1.6852581964007851, 1.682096462599581, 1.678409796825938, 1.678912868328021, 1.6759632589376243, 1.678163069162899, 1.680189094501391, 1.6721389412402001, 1.6719797143983226, 1.6693063008211153, 1.6692661881786597, 1.667716979482391, 1.667326798767574, 1.6676049870582035, 1.6665241979967373, 1.6616285334512177, 1.6623356201100392, 1.6608091988749074, 1.6621985270180266, 1.6619928286851453, 1.6594651518359675, 1.6593879944086527, 1.6578203869235204, 1.6593344166802584, 1.6590291210151074, 1.6566945300829465, 1.6576281103988622, 1.6560294231269146, 1.6535553232891413, 1.6549623183030155, 1.6557734338545906, 1.6546905837481958]",0.4302,0.42535849368477957,0.43073867834885443,0.4248445417251398,60.82894158363342,
4,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.108636074714969, 1.866102108054577, 1.7869453295070399, 1.757220709325784, 1.7415869277810636, 1.727694502377822, 1.7175684499553805, 1.695202183243135, 1.6889461570886526, 1.6741393941509544, 1.673082269498965, 1.6725047171781267, 1.6716023226135275, 1.6723927096614324, 1.6652573449094303, 1.6659020193870693, 1.652954805519349, 1.65942396673216, 1.6643044959669464, 1.6509467194853518, 1.6473351815793986, 1.6450840483409337, 1.6636695623927142, 1.6513877495274747, 1.6475355414145323, 1.643607426624918, 1.6343989716057727, 1.6431882963772002, 1.6310354898117134, 1.6398826566710696, 1.634703799503031, 1.647375502770099, 1.6387078422418724, 1.6269572084736867, 1.626213092754126, 1.6313631664914803, 1.6336739959997082, 1.6325528500103421, 1.6295348737437143, 1.6309214437086408, 1.642663159285234, 1.6329453216763705, 1.6240262350738652, 1.6216531514570105, 1.6334758290800728, 1.6247997690304425, 1.6288709150770375, 1.6181288360436208, 1.6126359389871825, 1.6162148302861412]","[1.9418942796257335, 1.8480140334668766, 1.7940988845457497, 1.7656778388592451, 1.7481008685637058, 1.7326149155106785, 1.7234024625999627, 1.7084304708968503, 1.7029395483450593, 1.6972393285531784, 1.6952973451916427, 1.6892943294186544, 1.683346917437392, 1.6830837098808036, 1.6815890730881147, 1.6799095168175477, 1.6745373490577207, 1.6755330524531724, 1.6734610654300723, 1.6696853502180904, 1.6698805603660591, 1.6663935385754942, 1.665987553352207, 1.6639063423876388, 1.6624361628516664, 1.665128619846325, 1.6627412686217897, 1.6600080293953525, 1.6593282548465647, 1.660934493222335, 1.658686435556998, 1.658837647361245, 1.655367489982833, 1.6575083190613822, 1.6551509745527142, 1.6514619970892235, 1.6522013216280975, 1.6519759122974422, 1.654137819687077, 1.652845411893946, 1.6510691889572928, 1.6511589733829972, 1.647503793983001, 1.6467813522811896, 1.6477405902553197, 1.647352500406778, 1.6479538037741, 1.6465900775467388, 1.6503815361197542, 1.6457634022215324]",0.4254,0.4217723127432433,0.42735768765231796,0.4190742249880309,61.48808407783508,
5,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1568436520511116, 1.8750490844763181, 1.81227333638727, 1.760869402500025, 1.7386628586317072, 1.7297842545187363, 1.7049049514937138, 1.702398233157342, 1.7009285507679737, 1.6884481841268257, 1.6716714806232287, 1.6811288153919268, 1.6755858107914179, 1.6704915123368302, 1.6628375730418519, 1.6627256381808624, 1.6627544708508035, 1.654312415754375, 1.6641872563433595, 1.6450567802971556, 1.6503336055280926, 1.63256973329837, 1.6398945488037218, 1.6460633400739506, 1.632710755897296, 1.6300923103706566, 1.6449879544901733, 1.637866944064971, 1.6256920998136772, 1.6242258986375178, 1.6289951574993042, 1.6285335707207695, 1.6352641547447386, 1.6373526413680448, 1.6357906084901486, 1.6298737946472208, 1.6233534826167173, 1.6152951744657227, 1.6127258911049043, 1.6362001614892914, 1.620006330578966, 1.6190784964025573, 1.635819852696885, 1.618141224198089, 1.6218013988881974, 1.6130295419088494, 1.6246104732756212, 1.6245450083411421, 1.6330511352092607, 1.6265740438137146]","[1.971528613444152, 1.8583668950209808, 1.8123236231514412, 1.7819422563383158, 1.763316031723882, 1.75476753079873, 1.7387683601903816, 1.7304616154112367, 1.725494447090067, 1.718521160119334, 1.7129643131877157, 1.7104514025834905, 1.7075773338702824, 1.7044580456208944, 1.6982434696588382, 1.6943045042057296, 1.6921720202898038, 1.6932796968854877, 1.6914807521665702, 1.6851565607157892, 1.6852006591629212, 1.6813201820210484, 1.6777906962009794, 1.679646566256758, 1.677435744201783, 1.6743952191849774, 1.6763831946473147, 1.6707278641485348, 1.6714682688066074, 1.6696509616046173, 1.6673859661827286, 1.6687164754226695, 1.6685306162081965, 1.66693414696603, 1.6657626088724662, 1.666815758445963, 1.66332316304025, 1.6600967087565601, 1.6639101682675934, 1.6612426171908068, 1.6624804488923197, 1.662537195405379, 1.6617871432759046, 1.6623678873061638, 1.6574047178962563, 1.6588520792166608, 1.659222699154638, 1.661239298391943, 1.6616898142367613, 1.6589459916819218]",0.4268,0.41704555496111323,0.42528996872874536,0.4171414509205856,61.68251657485962,
6,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.11624565118701, 1.856936256611919, 1.798849030303745, 1.7580093540760349, 1.7454903559149813, 1.7120170190263695, 1.7005914905746047, 1.7008247844676678, 1.689625949573482, 1.6817087173522343, 1.682400424102741, 1.6731791959632216, 1.6770660953698493, 1.6559090279411175, 1.6518660231848596, 1.6680036773647582, 1.6526864798007976, 1.6556311373825237, 1.6438372011576106, 1.6434663206211189, 1.6373911051737229, 1.6424530463748392, 1.628923182133676, 1.6453340725191898, 1.6358220276677595, 1.6304225321817702, 1.6340299453569278, 1.6393490784912563, 1.6466618454869715, 1.6452433571180793, 1.643642896282995, 1.6445954524123678, 1.633866673636065, 1.6299528142060515, 1.6381745095705165, 1.6422610441033336, 1.6383859134212162, 1.618323721517707, 1.624041518520548, 1.6281605918319082, 1.6257964571384436, 1.6229883360506947, 1.6231012156334974, 1.6227603645682471, 1.6238777947967968, 1.619234763145505, 1.6314363105924943, 1.6295438165420821, 1.6262897848691287, 1.6231654942842777]","[1.9348513163311505, 1.8297656615303421, 1.7912863555052543, 1.759872770435231, 1.7449433302115478, 1.7300262433054847, 1.721952579239019, 1.71343281586695, 1.7055946164315097, 1.6985751768954092, 1.6942041900579468, 1.6901154280110444, 1.6918408119174608, 1.6847735335239005, 1.67908575860262, 1.6768056634691122, 1.6767293547160995, 1.674437811977216, 1.6725362192254234, 1.6698968526166957, 1.6682421496171795, 1.666828125216814, 1.6639940703625125, 1.663035800558904, 1.662404192303335, 1.65748691529815, 1.6571181232659558, 1.6576158069314701, 1.6567865359129925, 1.657047235687392, 1.6584869934732327, 1.65732434167596, 1.6576061854044288, 1.6549457535363574, 1.652191909527142, 1.6550269688764048, 1.655787652067709, 1.6512263047452445, 1.6528151945553406, 1.6523382237343056, 1.6523402265701899, 1.6475521153049406, 1.6484492742646522, 1.6482310069890163, 1.6478447942781416, 1.646664963004804, 1.6466459726877325, 1.6489300789708907, 1.6451257298321311, 1.6436895707373738]",0.4384,0.4306345074311995,0.4361341733663825,0.42862373868844666,61.98038935661316,
7,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1133260464640933, 1.8726398140042166, 1.8060289326774455, 1.7597997639746357, 1.7439153503427944, 1.7200859260683337, 1.7181353216016897, 1.7192423797456502, 1.6939515500263997, 1.6837667589751522, 1.6772516943589308, 1.659455203531558, 1.6660643697375277, 1.6605552934278867, 1.6626118086247148, 1.6525076100158305, 1.661386842379577, 1.645922345147477, 1.653164794596519, 1.6506084324716797, 1.6339271285913617, 1.6436395803952923, 1.6370092814668198, 1.635110753164203, 1.6345469166978885, 1.633134342711587, 1.6320523052840545, 1.6313306912429784, 1.6341957430873622, 1.6408548715680722, 1.6234613356546563, 1.6332863890591012, 1.634340904768045, 1.6365302806381947, 1.6290862967748325, 1.6299930895556618, 1.6284021709244052, 1.628159026658901, 1.6211329898692468, 1.633307006760597, 1.6176043978597405, 1.6286466820545973, 1.631713228989119, 1.627808742209814, 1.631192765771553, 1.6145483753069036, 1.6167710521407157, 1.6085114910668694, 1.6245249192113982, 1.6157438052103468]","[1.944279895519171, 1.8392263733631262, 1.798134772500534, 1.769832250741779, 1.7488836884379506, 1.7339271657247066, 1.7258132998704565, 1.71579052947652, 1.7074807551425568, 1.6994682474564884, 1.6925708730001112, 1.68678505351764, 1.6845873313453361, 1.680926819360879, 1.677481118945007, 1.6755840071003847, 1.6699042563058073, 1.667360943180578, 1.665982494031607, 1.6630124645162607, 1.6601491659425167, 1.662248378447217, 1.6586911407350708, 1.6580865465040833, 1.656791734045738, 1.6539935851199086, 1.6533892532018992, 1.6506008463177932, 1.6542320362837777, 1.651678126687819, 1.6498475739225156, 1.6525494684521083, 1.6482639452326657, 1.6492199317983176, 1.6505291041959842, 1.6485348486753864, 1.646335342988366, 1.647998871492507, 1.644074149566441, 1.649041177053947, 1.6500470660196123, 1.6469300366075261, 1.648208182587881, 1.6465030347131229, 1.6461972260003408, 1.6392554902048515, 1.6417079398710783, 1.6421885452138296, 1.642513135582726, 1.6426590905988796]",0.433,0.42771827822980557,0.43187753788669275,0.42695547967925834,61.486196756362915,
8,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.097693017293431, 1.8572949278095607, 1.8046217874374542, 1.7571188831319167, 1.7549622143899402, 1.7132685343696927, 1.7153926596546258, 1.6987000155337109, 1.6883188326988592, 1.6952242853047015, 1.6731061268699077, 1.6667129903187399, 1.6660493577290316, 1.6552305158368545, 1.671892393740404, 1.6650886485025747, 1.6541127367206643, 1.6487385108785464, 1.641775189763096, 1.6486331222937605, 1.6458661351981068, 1.6510315663497603, 1.6390081005195216, 1.6524545477188677, 1.639947793620343, 1.6497255337738128, 1.640580849719303, 1.632301164900101, 1.645596326426211, 1.6320583910370692, 1.637629776440645, 1.626871032486596, 1.6346373518499888, 1.6287352533379653, 1.6349702785295654, 1.6321100148505878, 1.6289838348833798, 1.6271179225541095, 1.6232983256709244, 1.6389807872444038, 1.640082418009902, 1.614324501927051, 1.625761774532561, 1.6387509030847587, 1.6246968748929502, 1.6318624925693999, 1.6263468520228115, 1.6252487694317241, 1.6237042187761463, 1.6101982812357778]","[1.9460868618669713, 1.8491891335515793, 1.7984250746977701, 1.7750799620648832, 1.7509149799954182, 1.7326845352366076, 1.7234235177776263, 1.7136892672690545, 1.7073634252771932, 1.700639599064683, 1.6962589968935136, 1.6911563817647788, 1.6909863779324406, 1.6856869447555298, 1.686696334653249, 1.678181760302789, 1.6791550229734065, 1.6765261137372158, 1.6735087860058449, 1.670071227806194, 1.666246419261022, 1.6684898059957158, 1.6664587263685324, 1.6689134262409555, 1.6659712631918042, 1.6637823552640911, 1.6671890319623428, 1.6611313824458023, 1.6611100819027695, 1.6568735315257004, 1.66141808892798, 1.6579431837807783, 1.6588117873841788, 1.658441553811774, 1.6549946803528008, 1.6525030660002895, 1.6524310389322672, 1.65370059082427, 1.6488908763167782, 1.6516880235853677, 1.6515701546111705, 1.6492060422837647, 1.651176072573539, 1.6514419873839623, 1.6467652964592576, 1.6485404683446045, 1.6489524598628789, 1.6474684548750913, 1.6454658794848984, 1.6448595357446525]",0.4288,0.42621649560319064,0.42849901042281846,0.4215434210305686,62.13342905044556,
9,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.111849540035573, 1.8613758071588935, 1.795730200125559, 1.7494254610865312, 1.7273358911603935, 1.7035639904314264, 1.7029133099498903, 1.693520347004145, 1.6802330329557347, 1.6850205387725024, 1.6902338859134047, 1.6665182634784221, 1.6772139829347188, 1.6553989834803757, 1.661712701856325, 1.6581242875046585, 1.6508659934173016, 1.6569029195811922, 1.6452467001992808, 1.648743314744267, 1.6316436694403547, 1.6353006375917412, 1.6410029461333393, 1.6521357537304524, 1.644387607442129, 1.630189050976011, 1.6347573867820526, 1.6410941259113179, 1.6414591668981935, 1.6393651853281572, 1.647789793600096, 1.633468707207337, 1.635364893275923, 1.625106774413193, 1.625084293982678, 1.6240125760251294, 1.6269293020449227, 1.6290310650815432, 1.6140503213602064, 1.6227787824558932, 1.613283616592488, 1.6113556301134162, 1.6247146226964075, 1.6293390812020976, 1.614827995178419, 1.6263765968956347, 1.6127506144732666, 1.6187793895681606, 1.6203847115291075, 1.6237947068156473]","[1.9332092993691652, 1.8345183112154932, 1.7904383332200344, 1.7600835260169465, 1.7384111696685085, 1.725639140937179, 1.7117656076809795, 1.703868031483965, 1.6992314464338143, 1.6959498067106171, 1.6884932414544096, 1.6824217704902231, 1.6837650118075413, 1.6761983265857656, 1.6736680034672171, 1.677026425856199, 1.6731184401545427, 1.669824858749293, 1.6615211784184736, 1.6631359685205316, 1.659820964175722, 1.6605869324260978, 1.6603862872478556, 1.6564058798551737, 1.6543739440144258, 1.6526542847727077, 1.6527107405487251, 1.652031138666652, 1.6539402658925613, 1.6504188071327262, 1.653141760131008, 1.64924407684949, 1.6518878840755016, 1.6511571531040616, 1.6472794116549965, 1.648181043551089, 1.6460164506606096, 1.6476710113664537, 1.6471629614340257, 1.6414028387521575, 1.6406288061870822, 1.6391234962890244, 1.6416265399682988, 1.6419381556778696, 1.6411957530432537, 1.6390612535416673, 1.6402073673841193, 1.6375380479768984, 1.6347880038363354, 1.6345677769028868]",0.427,0.42399174142911605,0.4288439917852115,0.4232865859311694,63.35493087768555,
10,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1424501724082177, 1.8708022695625715, 1.7956240070760396, 1.7703309854678895, 1.7398353530872297, 1.71975852797789, 1.6987402786257697, 1.694877421305969, 1.6947279198623728, 1.6849837631163702, 1.6803534631153019, 1.668137110359776, 1.6721141860946767, 1.6745485810518659, 1.670208635593872, 1.6785564788708807, 1.6566568286576053, 1.6557948288384698, 1.6591027768985451, 1.6545892671058524, 1.6677360653410094, 1.643663337039445, 1.657149484606876, 1.638171298336158, 1.6513719985665798, 1.6462788884030697, 1.633690062883784, 1.654544481468623, 1.6483638232925564, 1.6362247278076023, 1.6348750959041587, 1.6328434495808544, 1.6311820428217534, 1.6256661688645557, 1.626993030309411, 1.628091809339752, 1.6205370793742648, 1.6273941068482567, 1.6224347663717267, 1.6203163328236934, 1.6225787352707122, 1.6317851549930489, 1.611446769179957, 1.6222527366100241, 1.637195664437958, 1.6183587405799944, 1.626973754091965, 1.6282996113361898, 1.6181070966930808, 1.6252207597628294]","[1.9613581735381556, 1.850640367435641, 1.8045082982550615, 1.7758526830139216, 1.7517560730870398, 1.738831577374271, 1.7270426545065576, 1.7193189821690285, 1.7125824295358612, 1.7071465821163634, 1.7015051923645326, 1.698215896461501, 1.6945055458368645, 1.6894485055220532, 1.6873629758250375, 1.6855350929726796, 1.6792705096593796, 1.6773038978373032, 1.6743068257987943, 1.6741660010692023, 1.6756182328101414, 1.6732650889343232, 1.6694522523842534, 1.6666789196163991, 1.6675874901307557, 1.665028449982973, 1.6613848987128317, 1.6618448549298628, 1.6598376670980068, 1.6598617016898176, 1.658747295130881, 1.6594041465620306, 1.658498986059315, 1.654016912980315, 1.6530786409254072, 1.650603484394079, 1.6494141585879705, 1.655437623348928, 1.6524101412429366, 1.6503172058667668, 1.6487293454517844, 1.6497709303430013, 1.6461793531183762, 1.6481942371365232, 1.6485674586969352, 1.6484783812329817, 1.647720677498433, 1.645483613417328, 1.6436944490926428, 1.64532862377371]",0.4332,0.424231631247819,0.43313044130978495,0.4269287747447697,63.14696645736694,
