Fold,Hyperparameters,Train Losses,Val Losses,Val Accuracy,Val Precision,Val Recall,Val F1,Time Taken,Early Stop Epoch
1,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 8, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.1110980399615804, 1.847507053373985, 1.7721391526567944, 1.7294730966784286, 1.6937802768584098, 1.6866581469395794, 1.6621828780460461, 1.6396328927957653, 1.6158578212331205, 1.6195322548116933, 1.60237811760892, 1.61528112184338, 1.5965267931779934, 1.6087832111670095, 1.565138938999826, 1.5653707343345042, 1.5467652693561886, 1.5439135792672618, 1.5733138906429451, 1.5488801443995794, 1.5329931621152364, 1.5456333575216035, 1.5301246668375792, 1.51927543580216, 1.5219251828927165, 1.5374861032013822, 1.5089077935814519, 1.5181335267645015, 1.5129378770035724, 1.503442618636759, 1.5027125689743859, 1.5015222734507883, 1.5188716599618224, 1.4731076437073987, 1.49800897754182, 1.4961404570923897, 1.5114190521625075, 1.5095036243454192, 1.5175608849652378, 1.5082648134391206, 1.4897581637879718, 1.477655771932707, 1.489606027036073, 1.487502310032726, 1.5014049620071122, 1.487724153753224, 1.4602943831488053, 1.4762560930276736, 1.483684335712773, 1.4718876965325087]","[1.960925550499263, 1.8592645978184794, 1.8106999818468172, 1.7656018942599083, 1.7408609485512578, 1.7320040927382476, 1.7062230222634396, 1.6994761683674755, 1.685525088119057, 1.6865972580028898, 1.6665130843464104, 1.662342880442506, 1.6510265758395861, 1.6504877973913727, 1.6467476803553887, 1.6367523189226787, 1.6298815820656036, 1.625696892562112, 1.6243662651028037, 1.6208285653900003, 1.6210004720659796, 1.6161022409456207, 1.6104052637736215, 1.609289511452944, 1.6019279174750696, 1.603416088301237, 1.6011340291422314, 1.6002786609228201, 1.6006498127802007, 1.5920716336049077, 1.5885694508558654, 1.5875097376087237, 1.5965649811491944, 1.5803013144140412, 1.581260467740864, 1.581077023431502, 1.581369426611191, 1.5839541363968204, 1.580655340102461, 1.577908116819141, 1.5766976974175413, 1.5740715693243112, 1.5702696128740936, 1.570732389565529, 1.5793893296303712, 1.566656372518578, 1.5701768661392863, 1.5768627481515585, 1.5682702292690682, 1.5652125066689755]",0.451,0.45102720576673316,0.45171422910272757,0.4457186602159995,37.42699408531189,
2,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 8, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.0913552070715995, 1.8208625161906822, 1.7718564413866449, 1.7144577613982779, 1.6750863638843152, 1.6703864061678086, 1.657218386296948, 1.6428905014398263, 1.627412999527655, 1.600886341516693, 1.5985134146914424, 1.5753083264948344, 1.5784784421129054, 1.5606585169438303, 1.5620774638372745, 1.5536770312645645, 1.5533527939718, 1.5521663264246044, 1.542728282266669, 1.5309744426113256, 1.5052626421260742, 1.5398539544927596, 1.5384924784328688, 1.5206051195376256, 1.5147489740274653, 1.5049297609076375, 1.5217560843495865, 1.5183041034788463, 1.5239840103752342, 1.5189499713427665, 1.5069815656280152, 1.500833275937526, 1.4967263283158785, 1.4735256467125815, 1.491778226527277, 1.4937005737912745, 1.4780474324711463, 1.4966538565588905, 1.4997475379097582, 1.4905358790178105, 1.4771882409113721, 1.48813914756095, 1.4946444409078414, 1.4796797343101453, 1.4831307485486407, 1.4584714514512025, 1.466658739307438, 1.4571676132395734, 1.4937505750832063, 1.4657107766965656]","[1.9562488844537687, 1.8448085221441557, 1.7995130575365657, 1.7574247673093575, 1.7342691416032936, 1.712132490397229, 1.6968199273200055, 1.6848939111042778, 1.6672422442360544, 1.6631283542180864, 1.653323383487313, 1.6394169637505496, 1.6331633134750654, 1.6257938024410419, 1.6158210681055218, 1.6153963522989794, 1.6070040385057194, 1.6098029100166047, 1.5995829102820396, 1.5926969802988287, 1.5942673880820304, 1.5959662872494784, 1.5873824265876595, 1.5880617207926961, 1.5823036742616265, 1.5814252784067264, 1.5815560635931583, 1.5697108173841348, 1.5661635195304695, 1.567583804536249, 1.5665677792150043, 1.5628760989018866, 1.5674888887076928, 1.560240060319751, 1.5744729055828632, 1.5521465110644068, 1.5536346297961399, 1.557384081296148, 1.5560035886704588, 1.5470466406321164, 1.5509894639836834, 1.5578783057415666, 1.5562642183092652, 1.5465338591217208, 1.5497844697587349, 1.5460560963916408, 1.541982567377761, 1.5407215365879565, 1.5464709178598748, 1.5381982738010223]",0.4686,0.46380704092677566,0.4660929102222754,0.4594255816254484,38.71499848365784,
3,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 8, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.0651568729001304, 1.8520068738230915, 1.7768620361043033, 1.7341299196972784, 1.6915823868926434, 1.6817878218628544, 1.6490377907025582, 1.6419944963805044, 1.6526312193788406, 1.6159677983375285, 1.6087771194884357, 1.599393626404397, 1.5865880824070595, 1.5674463616448229, 1.577788697883114, 1.5597225121893898, 1.5544910596950963, 1.5669439648459322, 1.5440850536909987, 1.5320075001528854, 1.5478903743950618, 1.5021823725896548, 1.5348487906891553, 1.5157791689930027, 1.545992727131127, 1.5269874925729918, 1.5232118402715382, 1.522765126326746, 1.5333167711344806, 1.5176667252824163, 1.5135652391286858, 1.5020084649425454, 1.4987522565071116, 1.4984613644665845, 1.4920299128359513, 1.492523624772647, 1.5056498049564866, 1.5238077700440413, 1.4866909351148911, 1.5021013494919089, 1.4784371081428331, 1.4870547958850409, 1.4833759814533838, 1.4939159492758491, 1.4994262310179527, 1.4954694179264354, 1.5071019050322445, 1.4804197208971523, 1.4929625013377874, 1.4700845202886008]","[1.9484398561370992, 1.855807360808041, 1.7831478456498109, 1.7489532010730913, 1.7217915068947667, 1.7051158492414809, 1.687728152452962, 1.6743810522237508, 1.6664456829092764, 1.653910345864445, 1.6465571986573895, 1.6434853487843701, 1.6338097111870218, 1.6235544106509492, 1.6184181894094247, 1.6147006280340346, 1.6064491210423268, 1.6097416023610087, 1.6015362174568326, 1.5996655059452365, 1.5946117787577014, 1.5917442783373081, 1.5906645849829235, 1.5846993775195366, 1.5870943968218585, 1.5831606957196231, 1.5724739090778683, 1.5754827924197217, 1.574277844322783, 1.5781048216359, 1.567942808115463, 1.5628000272728038, 1.5660563478353882, 1.5678390384785093, 1.5581925773952445, 1.5548551323759168, 1.5626724948362793, 1.5584848227341417, 1.5491071190763668, 1.5572356513721595, 1.5529167216437254, 1.5598886537243892, 1.5479692518884713, 1.547944971837024, 1.5444258683838392, 1.548370710171211, 1.5481345536379392, 1.546548380869468, 1.5480882718358646, 1.548790534967589]",0.4486,0.4446609781720515,0.45110689783491864,0.44310699039654783,40.125,
4,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 8, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.0782724299705686, 1.8128968165161057, 1.7595867688953055, 1.7142497551993305, 1.676458380030761, 1.6538999667838448, 1.6270666787006103, 1.6167667111935227, 1.598333090588557, 1.5971892275240454, 1.5910853522452868, 1.5802533979402216, 1.5672942284424258, 1.5575978834525217, 1.581828813197856, 1.542025228685823, 1.5517170439641153, 1.524864857308298, 1.5476261601914716, 1.5362981519243564, 1.5396273211777922, 1.5362555477453776, 1.529531530815441, 1.551011585259469, 1.5235325649936182, 1.5218514941765207, 1.5213489369315345, 1.5145997229525046, 1.500180709449367, 1.4906485721626928, 1.4678333170165538, 1.5266061836790135, 1.4837803696922078, 1.4931718468241995, 1.50599114788454, 1.4801050490655494, 1.4844001558424362, 1.4912553370101176, 1.4983472750218547, 1.4715260349434127, 1.4849380712984286, 1.4718876915885704, 1.47445857845028, 1.4942125630030647, 1.4972883999955025, 1.4745987090784372, 1.4825110991169885, 1.4912220049013836, 1.4747143822128645, 1.4614321728952222]","[1.9458193135583766, 1.8278378937435613, 1.771041734634358, 1.7498678686072708, 1.7214815187963861, 1.6912869016022858, 1.677348499135292, 1.6634284007686375, 1.6471776637770825, 1.6446788799943526, 1.6386166936058253, 1.6298106131934662, 1.618645186302821, 1.6198506753865103, 1.6130036327282693, 1.6065749011535466, 1.6002705444267102, 1.6019728389690888, 1.599409322156394, 1.5897989688861671, 1.5951901506568282, 1.589814092010771, 1.5850764117548612, 1.5926761239985003, 1.576668665276965, 1.5721591582330159, 1.5839512065289605, 1.566663658112283, 1.577093591517425, 1.5673117748744514, 1.561785940616414, 1.5668674060108354, 1.5660125414802424, 1.572154611987084, 1.5729516397087326, 1.5637107597229858, 1.5636037918544767, 1.5591970309151384, 1.5564367144779594, 1.5561305351104726, 1.5555009560423934, 1.5549611461046784, 1.5562816185886301, 1.5646017849265277, 1.5495757455509835, 1.5506757170623773, 1.5574578641333676, 1.550684654635906, 1.5524327685141852, 1.5495439006578098]",0.454,0.44960623885463386,0.4546087759484383,0.4456776558698811,39.92799758911133,
5,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 8, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.071255639009922, 1.8273016012788046, 1.7625369080568891, 1.7165306485276808, 1.6872311980519088, 1.6786843702705179, 1.656033750749403, 1.6352148398265527, 1.632082146441834, 1.61382462639619, 1.6191281190630615, 1.5744716528218705, 1.5726364933892603, 1.5665523366141612, 1.5865029801910364, 1.5480637536330233, 1.5566832598596656, 1.5566087074909205, 1.5427080750526045, 1.5357886865103818, 1.535229843028728, 1.54369065349167, 1.5389138365209878, 1.5507529026728977, 1.5428313868670762, 1.518856990822543, 1.5216662940197754, 1.500674114055755, 1.5214682301336642, 1.5148646771514316, 1.5232432721319444, 1.5051493060976457, 1.5005146513135987, 1.49972595356473, 1.5078659941680974, 1.5187662640654567, 1.5019502273218732, 1.5132050805258774, 1.4955651636819252, 1.5043654838001022, 1.497185675847282, 1.4801162246433277, 1.490100958152431, 1.502959769240613, 1.4839295270354402, 1.487363048989058, 1.4860117247078455, 1.513115863242901, 1.498821155208231, 1.488440814762082]","[1.958792190511601, 1.8427277531567139, 1.7804760763920422, 1.7486277140009758, 1.7217389738479196, 1.6986989988899535, 1.6818853326786536, 1.6701282644995168, 1.6534788390037947, 1.6409267572861739, 1.6397363089232124, 1.6244094410939816, 1.6179199878776984, 1.6145671727140747, 1.6129865589250294, 1.6037279160558107, 1.5962344644996538, 1.5961014836556064, 1.5932756446497767, 1.5923933353284374, 1.5835687571435453, 1.579084298443192, 1.5824927376446734, 1.5777842725760185, 1.5726426667063196, 1.5679497114584653, 1.5655965705010195, 1.5644513041126094, 1.5627618238327878, 1.561239461479251, 1.5642646884432325, 1.5603955984112126, 1.5558678040048732, 1.5525633421637515, 1.557660549468282, 1.5564599623313784, 1.5568476679364944, 1.5464459667137667, 1.5582152331553032, 1.5455903585165933, 1.5457573510174125, 1.5448408210961553, 1.5493665581265141, 1.5429733200168736, 1.548386716374035, 1.5369868329813257, 1.5360092593757486, 1.5494484584887789, 1.5375286964088364, 1.532590589682362]",0.4702,0.46537347917638733,0.46978525467356685,0.4661736384804579,39.80000019073486,
6,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 8, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.0481155249709913, 1.8448557299613129, 1.7643425365283638, 1.7164290250990384, 1.6898158049221539, 1.6564569065492438, 1.6378321778268679, 1.6371288187729771, 1.6258399267248498, 1.6006155491152376, 1.599181318174938, 1.5699036564729736, 1.5722554988502198, 1.560544991817022, 1.5785839679096176, 1.5562823981335019, 1.5552820472887905, 1.5494840134177617, 1.560566276576425, 1.522738848676385, 1.5227547835967858, 1.5136786231258554, 1.542182641275716, 1.5067662981716718, 1.5358112293485475, 1.5265772825260546, 1.5263172611309868, 1.521595817525384, 1.5048315806650525, 1.5114244290386873, 1.5021595405892314, 1.488374854852522, 1.5042296953839405, 1.4786003386107744, 1.4910867410294635, 1.480211647537432, 1.4742310455436272, 1.4873540368865101, 1.49350639287021, 1.481988252802999, 1.4850266053148642, 1.4873705424941293, 1.49513038604177, 1.4791662094788034, 1.4807440797417761, 1.4684168379411253, 1.476863868907304, 1.4753983920189015, 1.476957228680058, 1.4583341060188424]","[1.9360099846953336, 1.8419667734889793, 1.779025555949792, 1.7447596391418643, 1.7250753781025814, 1.69881817547072, 1.681107857231209, 1.6637604668587453, 1.6632174954254297, 1.647218110682733, 1.641928863496824, 1.6339315041846145, 1.6212123735125856, 1.6179203397604454, 1.6181914911822324, 1.6067956986320655, 1.6045866026213866, 1.6071289423855388, 1.6020785726742983, 1.5919528339791547, 1.5848417368831946, 1.590429081647326, 1.5883919211330133, 1.5806834284260285, 1.5788444684974992, 1.5752413590214123, 1.570191159702441, 1.5747919879777623, 1.565539677443956, 1.5678336287469627, 1.5653592018378766, 1.5636766824741772, 1.5614512115884527, 1.5692153147520362, 1.5648473836847305, 1.5600530461342317, 1.551562879652777, 1.5509825511068989, 1.5523324226630477, 1.55363027448547, 1.5507297458630263, 1.5534130439567255, 1.5511678342784676, 1.5465877079681396, 1.5405893490142073, 1.5387379382881976, 1.5463880815236613, 1.5428635139028053, 1.5461025720571253, 1.5391975651096415]",0.4718,0.4695766629512782,0.4697534574215549,0.4627445751976893,40.15499782562256,
7,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 8, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.1135523223266715, 1.8277499239063641, 1.772756293960611, 1.718698939698514, 1.6789749473027147, 1.677337453104082, 1.6442159266643646, 1.6205958264186473, 1.6167668025044735, 1.5967589627158982, 1.5932617275848138, 1.5687337123036906, 1.5737153092536882, 1.564015816166423, 1.5723838762167945, 1.5439039535237316, 1.5520058606984826, 1.5299301713866724, 1.5403008043470237, 1.5469014525625757, 1.5110858237222717, 1.52978440218678, 1.541237713593665, 1.5127701122262893, 1.5372532387797178, 1.523602946419369, 1.5199537690427138, 1.5057503621900241, 1.5017872029944501, 1.509418957780429, 1.4944109830688694, 1.4852487152115275, 1.516661493402277, 1.4980242519360125, 1.4981489726781967, 1.500575415631357, 1.4981466532652181, 1.49933549453306, 1.4995106269052436, 1.4726152449302543, 1.5055068802840852, 1.4924527758792903, 1.4788010851856734, 1.4768097759699041, 1.4734689875458704, 1.4906042643915585, 1.475874865101874, 1.487401910579743, 1.491581857769775, 1.471757198669282]","[1.9435688022352198, 1.8409039657606532, 1.784678293143968, 1.7491416083588687, 1.7323772382116625, 1.70422272221134, 1.6911552411714292, 1.6722227077904959, 1.6666075672011156, 1.6555734555778097, 1.6381534858636828, 1.6308288031120137, 1.6274231509181205, 1.6219525050473502, 1.6159420686381323, 1.606297533891292, 1.6071364999052486, 1.5998874908947918, 1.6000964452982456, 1.595197766400825, 1.5912688393508043, 1.5919592030908252, 1.5809944995461382, 1.5883408502041743, 1.5805175877959838, 1.578382476980227, 1.5768461559358957, 1.572301736166453, 1.5685707803852533, 1.5690789670504706, 1.5647881768266838, 1.5727402489752622, 1.570322593065962, 1.5653259153607173, 1.5577755320817004, 1.5654277580964309, 1.56414764558658, 1.5572815853007034, 1.55839812594367, 1.555109007781945, 1.5545847857008732, 1.561437759480667, 1.554506341619816, 1.5571860079685855, 1.556392525587797, 1.560237417852898, 1.5479571159657934, 1.5548886666207624, 1.5500685152097353, 1.5453275481141264]",0.4682,0.46273438110518866,0.468219696976078,0.46229162230860066,40.887996196746826,
8,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 8, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.090367386666921, 1.848198532460814, 1.7579195009450486, 1.7262841463609855, 1.6942232826768517, 1.6738004152978787, 1.6411603689091738, 1.6298190090940428, 1.6204897538996677, 1.6001270329873398, 1.5997185544965136, 1.586671958932254, 1.5611675623182621, 1.5677196748406264, 1.5678099217668238, 1.5600046399176302, 1.548699701241378, 1.5439394794557764, 1.5190442019078085, 1.5465476748763836, 1.5356891375906203, 1.5360693875872389, 1.5305700979169954, 1.5456830821329806, 1.540298477697017, 1.525327490145303, 1.5063462958271663, 1.5029996153211065, 1.52340787839309, 1.5021521942056297, 1.490249667451311, 1.49025756334352, 1.5097261488682099, 1.4805783603272318, 1.4881169491076829, 1.475428706013188, 1.48662447977561, 1.513099838582508, 1.5050275437519522, 1.5016671273910362, 1.4871903364004124, 1.4833559403701038, 1.5026059778874359, 1.4891654591057184, 1.489076608631573, 1.479498786538029, 1.4828471272649806, 1.4819472455985139, 1.4620621730198262, 1.4715579694813021]","[1.940888870145657, 1.8344652503390415, 1.7797511640201134, 1.747947760225442, 1.7173604389863446, 1.6994186202044412, 1.6860941146556678, 1.6640505232542437, 1.6603749255716553, 1.653593609877878, 1.6418571195795917, 1.6351782843215048, 1.6243265860911922, 1.6182920709387767, 1.6091500639789875, 1.617963409931107, 1.6027666094333843, 1.595057213718247, 1.5923987540337656, 1.5918830296721316, 1.5851702283337297, 1.595722927898463, 1.5863426849842532, 1.5776697303029301, 1.575201968635571, 1.570513811439499, 1.5682692590168479, 1.5631222889903327, 1.5646987753939523, 1.5635724521246743, 1.561338550667681, 1.559636682714419, 1.5560029035711282, 1.5516511439698455, 1.5591140950518856, 1.5480559192343943, 1.54987094474623, 1.5487051041221478, 1.5517994859458581, 1.544613700960813, 1.5439542400635053, 1.546052108781515, 1.5468516767653782, 1.55324810584853, 1.5482298189093289, 1.5490086256765188, 1.5432303664729818, 1.5436825418225861, 1.5362444409463067, 1.539850915317253]",0.4614,0.45959336287075014,0.46342388761068776,0.45792530570060236,40.49099946022034,
9,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 8, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.087723752777603, 1.844315935862407, 1.766433264334732, 1.7591160498094285, 1.6873156561012277, 1.6746745962471954, 1.6434779672766013, 1.6294160584679067, 1.60659467595358, 1.5960286453379269, 1.6057711720882242, 1.5905563816369732, 1.5812617755119145, 1.5951332316878846, 1.583452624000287, 1.5633249701559284, 1.5510393727451344, 1.5510797898425788, 1.5424299621463025, 1.5356304098937572, 1.5332500204111876, 1.5163463409343274, 1.525907973934894, 1.5177429389275223, 1.5313459999856651, 1.506436921240872, 1.5300284735235579, 1.4956563574259385, 1.5130584468121653, 1.515561805532547, 1.5368690404914918, 1.476286633494984, 1.4931188683218983, 1.5015616831391982, 1.4907271013496521, 1.5100835207816488, 1.482755148157634, 1.5012402837685612, 1.4948992562480947, 1.5111099460214406, 1.493404583099565, 1.4964193641979138, 1.4794032957389853, 1.4901345270981727, 1.4849984672982743, 1.4894738622708137, 1.4669812290560686, 1.4632537760701418, 1.4693354502534808, 1.4694882170411192]","[1.9506494743591691, 1.8498117700330283, 1.8078083007620727, 1.7591737114308732, 1.7380270463418448, 1.7186158803929452, 1.7051042564100172, 1.6848405687849555, 1.6804382602357713, 1.6635859502224564, 1.6537871143421907, 1.6480604916976467, 1.6460451971703518, 1.6331097792042706, 1.6373249724018446, 1.637913563190723, 1.6275579518895544, 1.6188087996760119, 1.607269861730157, 1.611619806317125, 1.608562293091826, 1.6048586308916402, 1.6015581895967905, 1.599039400233595, 1.5977875401022157, 1.590995987571967, 1.5977438101862882, 1.5888498144838685, 1.5855239860425034, 1.5870369868347238, 1.5857319502970109, 1.5837859272954393, 1.584890229192646, 1.5850288660039935, 1.576278021267871, 1.5776209139758128, 1.5702056032699936, 1.5710631303270008, 1.5655504408927108, 1.568089407681418, 1.5656307070446702, 1.570141491169144, 1.5638649478138869, 1.5630947267871418, 1.5685575906048246, 1.5661313695197634, 1.567435194260517, 1.5608455076489636, 1.5659386631202632, 1.561014607898108]",0.4536,0.44781541031595085,0.45204854181198717,0.446014185707997,40.81899857521057,
10,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 8, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.113208332882021, 1.8510526812465333, 1.7864514337322355, 1.730999024482008, 1.6963727777204143, 1.6604574329118373, 1.664195387353199, 1.638958103941802, 1.6258661526211489, 1.615557492683254, 1.5958403336831197, 1.580684264645007, 1.580301112419768, 1.5644412709748456, 1.566475405041524, 1.5551402648314636, 1.5439930816115042, 1.55544152152031, 1.5276695276810766, 1.5481430396977651, 1.5376897702468573, 1.5319483173520043, 1.5250466181109592, 1.5317781476111811, 1.52184752408868, 1.528195976174239, 1.5239714376342683, 1.5367768759465144, 1.5288773958627555, 1.5172615140564134, 1.4977488594295454, 1.4993704079648178, 1.5128211276436367, 1.4984424296817378, 1.514039446004371, 1.477354090450371, 1.4723769035904095, 1.489669698145284, 1.5070530673309366, 1.4928065015693266, 1.4978826577434652, 1.4868586354047926, 1.473737646735193, 1.4821869137909984, 1.4755276978024352, 1.4802824755552093, 1.486154451453116, 1.477406553521017, 1.4638085551935167, 1.4561652329231023]","[1.9656755630126224, 1.8667979845531328, 1.8034110688574048, 1.7621578871365986, 1.7305601020294035, 1.7216455122823704, 1.6977954949608964, 1.6849725729853322, 1.6729321992679609, 1.667373984829105, 1.6590175975242938, 1.65063392755292, 1.6339749694379022, 1.6395885833860477, 1.6229022394142056, 1.6199793216139078, 1.6105995883036717, 1.615846105486908, 1.6032158655751638, 1.6015316270840267, 1.5916786945103176, 1.6011840980884373, 1.5829247717097912, 1.5890310824921472, 1.5862511885114037, 1.5810674025276092, 1.5807744772195609, 1.5767570943115787, 1.5747646629305723, 1.5776130385873013, 1.5781881837318068, 1.5761965582662623, 1.570416595030645, 1.5708368942340962, 1.5692875811049758, 1.566654336156422, 1.5593557334397636, 1.5589933562674032, 1.5543060974865173, 1.5523732481451475, 1.5542443956579568, 1.5533771438536594, 1.553082497428917, 1.5487689541074385, 1.5461686577653455, 1.550175283894778, 1.5532137211354813, 1.5451854771097768, 1.5458669129086338, 1.5394457374236925]",0.4628,0.4614822359512328,0.4633095614794288,0.45955570761462416,40.818997859954834,
