Fold,Hyperparameters,Train Losses,Val Losses,Val Accuracy,Val Precision,Val Recall,Val F1,Time Taken,Early Stop Epoch
1,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 96, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.0593637018892763, 1.8452083705567646, 1.7685640400097105, 1.7412294405007724, 1.7306492586956848, 1.7036677649451668, 1.6870128819442518, 1.6843417357766284, 1.6767647268432748, 1.6787405358961505, 1.668266069472046, 1.6766093257403345, 1.6581272743053592, 1.6642367285669493, 1.6459736142881165, 1.6470917104251077, 1.6442137970654653, 1.6491324769660456, 1.6355040665162837, 1.6422593492000854, 1.6474950835714628, 1.6341719968202892, 1.6235332904825386, 1.6475141560691606, 1.6239484658086671, 1.6273574734784158, 1.6294783063528335, 1.641376540758928, 1.6198562968863197, 1.6331292783269777, 1.6274098363163227, 1.6319993783276632, 1.6353532048270487, 1.6215465054905405, 1.6343200876387827, 1.6308629172728655, 1.6178989444195249, 1.633535302974331, 1.6349319437045007, 1.6337894525732788, 1.6345754594005864, 1.6467239693514848, 1.6257135426122984, 1.617565031967965, 1.617313261537737, 1.6248194817576425, 1.6143582209229437, 1.6174719296018993, 1.6082384920556718, 1.61596913887784]","[1.9169336562680765, 1.8267919371028154, 1.7786419653486956, 1.7531859188111498, 1.7376734880085, 1.7272995876783745, 1.7090176698022763, 1.7058935135382585, 1.700753701205807, 1.690509499468757, 1.6865706179473168, 1.6847217534462884, 1.6796811451654816, 1.6794694025880275, 1.6718279295845402, 1.6704657433396526, 1.6693278943881003, 1.6685608514127686, 1.6606130977901834, 1.6624260164234097, 1.6612323527152906, 1.6581015200268288, 1.6593741377077889, 1.6623344410115357, 1.6564313504054524, 1.655635764420798, 1.6544712107026116, 1.6571587989875904, 1.6524485987076674, 1.6512598205077171, 1.6507865852903487, 1.6515369194515879, 1.6559959247386271, 1.6480734654068656, 1.648720526378444, 1.6494320827134998, 1.6490920358297168, 1.649314779090202, 1.6480252910858486, 1.649806437352908, 1.6464487776955663, 1.6488099944598997, 1.6461313925157353, 1.6433536060991762, 1.645326052385613, 1.6422905279911908, 1.6452296821294123, 1.6446811273012936, 1.644647509583469, 1.6454373378102187]",0.4378,0.43294649465518564,0.43623746575597266,0.4315654365640572,79.7860004901886,
2,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 96, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.072189803339457, 1.83633920177878, 1.7828913122570569, 1.7363345599381321, 1.7165378281485706, 1.6971578139868067, 1.6821373300240505, 1.6815713863928088, 1.6847489845035495, 1.6697132843183722, 1.6589392632831867, 1.654771330559738, 1.6675448687294303, 1.641617375526424, 1.6602289308020919, 1.648567172704741, 1.6439304713853629, 1.638968598618489, 1.6467373376457306, 1.6408268508244532, 1.640230070564016, 1.6367462423527537, 1.627998331024671, 1.6303007450937739, 1.6383893328547572, 1.6371161051292493, 1.6375066174949513, 1.6203195764778482, 1.6332682957003475, 1.6396557982773123, 1.6353503041225705, 1.6308334439115373, 1.6240549102340711, 1.6219982933662236, 1.6341864077680084, 1.609996379771365, 1.6234140216955255, 1.6157992483075125, 1.619461828359876, 1.618984548692543, 1.624514559350512, 1.6166132323748013, 1.6316465806866547, 1.6234559326758278, 1.6275943757353895, 1.617918877771976, 1.61240208458718, 1.6137801587031466, 1.6178916934885677, 1.6141572523380543]","[1.9347717735771104, 1.8207542530300853, 1.7820264134523867, 1.7526337302681474, 1.7324114998628284, 1.7216819976469342, 1.7075786728594329, 1.7004301285240635, 1.6941616319107713, 1.6899568336882076, 1.682292810744577, 1.6813861296582615, 1.6720590832178095, 1.6714284090404756, 1.6696824842731417, 1.6695981925882868, 1.6624202439164533, 1.6662711844563527, 1.663128183048932, 1.6642943854901249, 1.6590995311906591, 1.6605175211090806, 1.6547564814164346, 1.6569523924955574, 1.653733008298877, 1.6549552726313144, 1.6532855123056343, 1.6527069145630917, 1.6480775608669886, 1.6485922962916826, 1.647405385707137, 1.6514780962635378, 1.6480126282224576, 1.6487952981375118, 1.6493183237204372, 1.642986641157305, 1.643545272901754, 1.6451028148206566, 1.6443842929947772, 1.6447782918796592, 1.6447918559097674, 1.642362648733878, 1.6444158676574472, 1.6413884682433264, 1.6447463503190738, 1.6408794832106708, 1.639664031280492, 1.6395288001729291, 1.6444955715545773, 1.641045498232326]",0.4302,0.4254328509384965,0.4304046936352936,0.42466689267044655,79.51599860191345,
3,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 96, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.038656868817884, 1.827610446823707, 1.7736038683858508, 1.7387177539112968, 1.7001006688325608, 1.706121719645016, 1.6716883398769313, 1.6733455913246977, 1.6643969859868106, 1.6774459768180974, 1.6664073610570609, 1.659983286055938, 1.6531405041814404, 1.6521067703782109, 1.6557392215975262, 1.646213661333496, 1.6419088312334873, 1.6448320284308322, 1.639460196310263, 1.6273940559912519, 1.6348981764870347, 1.630316542886216, 1.629447755935545, 1.6414063865189015, 1.6299846086143914, 1.6314128005924105, 1.6330865013182745, 1.6224382668733695, 1.6331864972109957, 1.6278291422530666, 1.6190156916895484, 1.6194442598032428, 1.623165893765427, 1.6164867079399645, 1.6314404804670193, 1.6362428905186954, 1.614024368636972, 1.6239710420682012, 1.6209975805338974, 1.6221037138399228, 1.6181869585547939, 1.618242432056914, 1.6082994913289754, 1.6276423898341064, 1.6208913251720067, 1.6266501663191464, 1.617982202055702, 1.6077542044086672, 1.6060968978510322, 1.6162552940242658]","[1.908765943588908, 1.8167754379214072, 1.7697285526356326, 1.7436198906052762, 1.7221181530023335, 1.7099882305877476, 1.6975272923287237, 1.6926957821871342, 1.6828759353530054, 1.680056324024954, 1.6799047757542205, 1.6764189253191355, 1.667601402200011, 1.666064609920585, 1.6644686675997709, 1.6598023829303412, 1.6603540406404587, 1.656998953030331, 1.6534881968134614, 1.6528714125247639, 1.6508334448561137, 1.648779569339798, 1.6481077064575584, 1.6504125664139393, 1.6455522406849017, 1.6468130021871645, 1.6417774612184832, 1.6413584429102968, 1.6460939063187616, 1.6419763344739498, 1.638997068141048, 1.638309460216144, 1.6421573005821404, 1.6392621753575838, 1.6372022421985202, 1.6375868897281045, 1.6369351529530718, 1.6355573750339145, 1.6343918906420092, 1.6341710184324405, 1.6329157700329353, 1.6303944923842455, 1.6308912201591164, 1.6343398942798164, 1.630707297734412, 1.6331750962053786, 1.6315865799702756, 1.6323386326923188, 1.630131416251928, 1.6315062247906902]",0.435,0.43678835136196986,0.43459087466517426,0.4326320603435906,79.62299990653992,
4,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 96, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.0652318378877395, 1.8504278526643316, 1.7749298212794204, 1.7516019535308407, 1.7217160076171756, 1.7049911435774419, 1.6902871543355134, 1.6793389227755267, 1.6889659089053115, 1.6812183928763322, 1.6742876878315112, 1.6693195720472027, 1.6487432235904917, 1.661107448819665, 1.6472529824127664, 1.6555993965145452, 1.648687697675132, 1.6459483275648368, 1.6450481188254624, 1.630822035218904, 1.6442277425348553, 1.6550130834142296, 1.6261089694439297, 1.6358416564072114, 1.6349941418000626, 1.630613804924975, 1.6256907556631208, 1.608168462348562, 1.6404676177066189, 1.6238320402266917, 1.6293346085921765, 1.6277210733709888, 1.6261410067499615, 1.6253572331058037, 1.6177604521536855, 1.623056406183448, 1.6152948409638537, 1.6250206799868516, 1.618775357057951, 1.6150967024277074, 1.6303053556183773, 1.6286791441393997, 1.621208068491891, 1.6222775222629555, 1.619017974227598, 1.622840605333838, 1.6087144376410543, 1.6166396037376867, 1.6139120933479603, 1.6172309090643326]","[1.9119239059540751, 1.8174178836533341, 1.7693340349815305, 1.7443614469301538, 1.7237863187904316, 1.710324964485906, 1.7063144930343799, 1.6932880153342371, 1.688484093863386, 1.6835291367392455, 1.6790290730005335, 1.6745254938968257, 1.6726524174459998, 1.6684372413949016, 1.6670371490571292, 1.666142895095834, 1.6610956441771085, 1.6598877613086687, 1.6579937910839493, 1.654281032496681, 1.6557153370138766, 1.6541202027467556, 1.6545355381265006, 1.6539474975198414, 1.6528244924642357, 1.6504546925226522, 1.6497676019969942, 1.6496135788016115, 1.6472607719842955, 1.6527934269474809, 1.6471322600713334, 1.6486948845701939, 1.643650812584105, 1.6462021958561586, 1.6428333471358076, 1.645459744311592, 1.6417152928799612, 1.6429862545303768, 1.6439590422149886, 1.6450150995048805, 1.644668347089753, 1.639939844016353, 1.6391131094281355, 1.6394906349960863, 1.6413578770250787, 1.641346155486482, 1.63684273296855, 1.6380426975618378, 1.6384549436966007, 1.640939210253061]",0.4338,0.42989181535879706,0.4347918760851643,0.4255396598966964,80.55600023269653,
5,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 96, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.0481262610038184, 1.7984621172888042, 1.750346069257762, 1.7204641356877646, 1.7029410443781816, 1.6859173399726712, 1.6784182496504605, 1.678828374775525, 1.6601335700070246, 1.6549893990484605, 1.659520777535282, 1.6549598739941398, 1.648197886963097, 1.6470687812184772, 1.6303212397774316, 1.6444521673195456, 1.6447352781200357, 1.6428394434913753, 1.6420353513197932, 1.629286283836606, 1.6320288277059107, 1.642800118152404, 1.6326410426566997, 1.6223881760574124, 1.6397608366331662, 1.637252870763449, 1.6297128536375485, 1.6126887872554219, 1.6352880523230238, 1.6153241472910393, 1.6225831100327832, 1.6329731847064053, 1.6196639313571375, 1.60617518025259, 1.6192293902828132, 1.6213970403293947, 1.6273681659276618, 1.6294892120569253, 1.6145054440767237, 1.6224781546677598, 1.6122797967270417, 1.6147161174428526, 1.608570124067202, 1.6145652691280858, 1.615287137679465, 1.6158278245551008, 1.6157964462993004, 1.6084383726802964, 1.6120442500507515, 1.6177677572167488]","[1.8956777960628721, 1.8032355625106873, 1.7615956934284487, 1.7348503605373167, 1.7192669048980447, 1.7081064706734077, 1.6961671639856954, 1.6882484186985192, 1.6866291555690274, 1.6778075557286931, 1.6792910255899107, 1.6729922512847553, 1.6686040987296125, 1.6661868805396876, 1.6622673498801779, 1.6616994883793546, 1.6621059826225373, 1.6597592040082985, 1.6568473963798722, 1.6533210774574452, 1.6536276231141387, 1.6539158643517533, 1.6535770646261685, 1.6496865934426241, 1.6530446138071417, 1.6494608770934578, 1.6497972764831037, 1.6478602775407991, 1.6503179221096431, 1.6472403570837455, 1.6483716950689522, 1.645580545860521, 1.6437125103374448, 1.6368887109259653, 1.641560632473851, 1.6430391355539788, 1.6457898840827563, 1.6413276997069264, 1.6422501449433453, 1.637615700977871, 1.6362622385051144, 1.6375738883971256, 1.6357933480893667, 1.6356015878935373, 1.6372819976305597, 1.63458642252132, 1.637154117879807, 1.6372236207740924, 1.641544493540535, 1.636911558729249]",0.4368,0.4336700474778077,0.4351332917532993,0.43270668611873375,80.57100081443787,
6,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 96, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.043937419644749, 1.8310766276774069, 1.764931676302609, 1.7366541686211867, 1.7228103185109038, 1.7018450903281799, 1.6900899569267585, 1.6784318065203359, 1.6691394470467924, 1.6665209204592508, 1.6642310731866914, 1.6670020553245066, 1.6501373404504123, 1.649923385270342, 1.6463980449621125, 1.652072852873397, 1.6554834977569635, 1.6478544657982754, 1.6478496087119474, 1.6353000370358428, 1.6349417201240457, 1.643599573546495, 1.6376483531085402, 1.6377205044920708, 1.6265398364737378, 1.6362712159444892, 1.6299327896183127, 1.6475827728370505, 1.6462635677833433, 1.6228514040899185, 1.625934890991841, 1.6289707160433282, 1.6307406092058745, 1.6246878277269257, 1.6367416328887787, 1.6236825150324046, 1.6263219240404898, 1.6121113817546262, 1.6309596890403877, 1.6254292666285803, 1.6203007739255777, 1.6189712368222278, 1.6209771663803918, 1.6235451748174534, 1.6137670374734796, 1.6177758725422928, 1.607970640141395, 1.6062400229443563, 1.6197996394797918, 1.6192431736363233]","[1.9073139717658887, 1.8197382060039862, 1.7724444941361923, 1.7478719317003244, 1.7275568609912297, 1.7201372968203064, 1.7060417836418038, 1.6968422956375586, 1.6928794725627843, 1.6878531259439107, 1.6801090195636883, 1.6826612189838372, 1.675194697308413, 1.6727101022897637, 1.6705385537912691, 1.670860294683432, 1.6674606258514695, 1.6638188809152548, 1.6622671481594435, 1.6596085632513955, 1.6575221658691865, 1.654787413175586, 1.65731373597891, 1.6523723690483951, 1.6534252099122306, 1.6517514660903803, 1.6517053942280508, 1.6495107852253132, 1.651481373873584, 1.6490742159509157, 1.6481166143748898, 1.6463318055527165, 1.645978012234395, 1.6448060348253901, 1.6448790386926848, 1.6438795845530079, 1.644798292541378, 1.6429632047674783, 1.6401946910119463, 1.6406197013978063, 1.6379431688956494, 1.6377810660769447, 1.6386762871075036, 1.6404330442233899, 1.6371503317569245, 1.6385771793948989, 1.6374181221398056, 1.636453616235196, 1.637722036507441, 1.6382468459954869]",0.4248,0.4211414295352249,0.42689508041772595,0.4188819636937941,81.35999941825867,
7,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 96, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.091242462823014, 1.835130414177825, 1.7717544448687985, 1.7395283013789378, 1.7307129711301965, 1.7139207394722487, 1.6855169221794928, 1.6839117884248362, 1.6827405437763405, 1.668294392439287, 1.6779219859773011, 1.6593175185896805, 1.6596200169318491, 1.6484118781766393, 1.6484470433624216, 1.6474409942797994, 1.641069149178457, 1.646805303826973, 1.6363514286988299, 1.6346376431871936, 1.6386478896562444, 1.6394990867389256, 1.6476122331369354, 1.6432039606769828, 1.6304895625334055, 1.6322930995966431, 1.627493126531129, 1.6430764774072262, 1.6265410736010881, 1.6201556330639135, 1.6117081168246692, 1.6280566556839176, 1.6255133883122233, 1.6151923884455166, 1.6273311987691734, 1.6110417723248005, 1.6322851401166156, 1.6292158047764225, 1.6071346019557216, 1.6057955565867605, 1.6173860511741946, 1.6074348731604027, 1.6045905598353398, 1.6089497983155125, 1.6187143417218723, 1.6080427107678714, 1.6157035848516204, 1.6061304902034113, 1.6161238326807623, 1.615879365169193]","[1.9376854798878973, 1.8442361362454212, 1.7947416790773982, 1.7677012520216275, 1.7494827374535626, 1.7367656054928713, 1.725606331044171, 1.7194555447314066, 1.7107163496553723, 1.7078792576084263, 1.7010251546370743, 1.6974049442903043, 1.6948892619969635, 1.6914789035148838, 1.6893237124114007, 1.6831899476004404, 1.682579951209327, 1.6807121898340127, 1.6797190117832164, 1.6770219502133616, 1.6754486919191018, 1.6722787542059872, 1.6723905643952872, 1.6725027425063717, 1.6682456300315054, 1.6667292744675717, 1.6664325311543027, 1.6679128649907973, 1.667548428402993, 1.666057357032916, 1.664454409246921, 1.6625680167974572, 1.6622959486953004, 1.6603328320653716, 1.6598219429506011, 1.6603854088110963, 1.6609492261085828, 1.6607735727968969, 1.659688056061124, 1.6599419178704073, 1.6607898548661963, 1.655349840275081, 1.654854608279396, 1.6547098964545908, 1.6570113718447268, 1.6609244538913615, 1.655479534477359, 1.6551080268761382, 1.6551591650516446, 1.6532012306076376]",0.4268,0.42313654735875017,0.4267879196489715,0.41928683695128155,80.72299695014954,
8,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 96, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.043095738512944, 1.8383031922916633, 1.7706952983108788, 1.73237418401381, 1.7078381771853182, 1.7081461202113353, 1.6916495278495196, 1.6844600265787681, 1.672610106295516, 1.6684868487838265, 1.658888825779882, 1.6651968647584376, 1.652616939764132, 1.6544755708917704, 1.642847637683058, 1.651360473969679, 1.6419292377614751, 1.6444390643554734, 1.6467612011317299, 1.659413700862307, 1.6476164650391203, 1.640097353204225, 1.6360406530215104, 1.6383156576725286, 1.6289518742143674, 1.63627043873689, 1.6378214014738728, 1.629958015899435, 1.634264624918789, 1.636171170643223, 1.6333211596989532, 1.630365783182137, 1.6326602908353256, 1.629686335904256, 1.6286758658158205, 1.6301571850605063, 1.6261806972837873, 1.6243786314928206, 1.6193629814966368, 1.6076473644561664, 1.6211461325886387, 1.6300441688736005, 1.6205271424824381, 1.6260979513230327, 1.6240780982044731, 1.6145381055481647, 1.6230860223442485, 1.6134170448697307, 1.6092820156465324, 1.608394558038069]","[1.9029152282599855, 1.8137365208970466, 1.768706829948823, 1.7419711175318617, 1.7270105584431237, 1.7157566328900935, 1.7094009585853025, 1.7022181189289833, 1.6923662727566577, 1.6852627480090312, 1.6847474462837715, 1.6814815128509042, 1.678771120063707, 1.6747348477522923, 1.6710007924744095, 1.6714656360485791, 1.671725505544222, 1.6660836193234478, 1.6700389320694848, 1.6684679564060658, 1.6685138280675902, 1.6654793381285942, 1.6613974055084437, 1.6611760138343357, 1.659528235749784, 1.6579021124049709, 1.6575441931867223, 1.6552852557512907, 1.65333792427968, 1.652927590987564, 1.6526835450435338, 1.6525871491227717, 1.6546043386443992, 1.6514985024713271, 1.6537669184904102, 1.6560483335583438, 1.6493081325065246, 1.6497034045707106, 1.6459373750459467, 1.6492745499666326, 1.6445833151504317, 1.6456554706009374, 1.6452688044336807, 1.643534345735769, 1.6444193649179568, 1.6412242303637998, 1.644498202302849, 1.6464219282034254, 1.6438833503081278, 1.6412325688740725]",0.4292,0.423423228300396,0.4291811574977113,0.4198283279464762,81.5579993724823,
9,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 96, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.0622260765811964, 1.8309846614189336, 1.7749997855583672, 1.739920918945412, 1.7114686181070367, 1.687701732630379, 1.6902147739710083, 1.6791594344959655, 1.6745908074576727, 1.6646303097137212, 1.66570390488955, 1.667129812020296, 1.6642365495979268, 1.6498281303784093, 1.6589360886104823, 1.6573572434639163, 1.6566129865140173, 1.6521429386672493, 1.660147900686264, 1.6494053695833313, 1.6321678345818804, 1.6528278745945135, 1.634318322312747, 1.6341034005415562, 1.6179535165092551, 1.6421612644441836, 1.6409304425854006, 1.6277310405502516, 1.625864935825993, 1.6269729220977809, 1.6248665947888732, 1.6231783779475566, 1.6130059894380715, 1.6246912935444278, 1.6327550581051804, 1.615039470999998, 1.6186140663645527, 1.6120976967871548, 1.6292829124296893, 1.6251085905017448, 1.6198366876317816, 1.6192620254954369, 1.6289215387767135, 1.6148796408186685, 1.6105922709123428, 1.6146322827365531, 1.6097220284873648, 1.612032103850199, 1.6229835156878087, 1.6075427122082033]","[1.9212286626744077, 1.8209204208297687, 1.7763798440731968, 1.7440164550114992, 1.7287488634057306, 1.7135120946185696, 1.704633468295948, 1.6957795861092655, 1.6917181090304592, 1.6847113687070123, 1.6785449528311251, 1.6769577170547443, 1.6743589612707146, 1.6737545155050393, 1.6686372548261428, 1.6731468023351852, 1.666276090673634, 1.6621530824386122, 1.6625218201027903, 1.6600544794676324, 1.657624668787661, 1.6605402938877902, 1.6533516611362342, 1.651047683484105, 1.6497742202273469, 1.6501583746755961, 1.6493306462026525, 1.6514973636982238, 1.6511955750260146, 1.6470209338626256, 1.6479968473853206, 1.6466373878107141, 1.643021559208624, 1.6422780740338854, 1.6467320975930455, 1.6428832884736715, 1.6414531320052774, 1.644526910878653, 1.6375474424252565, 1.6382293435516455, 1.638472389527555, 1.6381842933180324, 1.639429528814265, 1.6390901520518097, 1.6387444860108233, 1.6356538980523694, 1.6343094233231719, 1.6380069373071657, 1.633238500075256, 1.6331092951275548]",0.432,0.4272008052838544,0.4334195254998128,0.4245596175884015,81.32900071144104,
10,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 96, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [10, 0.001]}","[2.070623436814861, 1.8449713031249118, 1.7632871392344693, 1.7423688653165836, 1.7253617454262695, 1.705673973615063, 1.6974760326086602, 1.6702509736323148, 1.6729038960192248, 1.6724722926169997, 1.6675405540714043, 1.6639733825287086, 1.653012656220987, 1.6598062564447147, 1.6606759604764068, 1.6399495718639157, 1.6463380599557949, 1.6320542083718552, 1.643870888235392, 1.6419994329054022, 1.649511567665082, 1.6386639775569163, 1.6298323417060323, 1.6294119541858834, 1.6206643784614887, 1.6356436654156232, 1.6321783880707426, 1.6295203381592887, 1.6211568612027845, 1.6353174398791148, 1.6268706431217783, 1.6306912142507273, 1.6240508263630369, 1.6373064270024853, 1.6096848266469896, 1.6075889219254356, 1.6224845208509011, 1.6166036443287577, 1.619164723199725, 1.6259327005062543, 1.6165149590298313, 1.610925400998828, 1.6114306270476608, 1.625678195493907, 1.6150732767737788, 1.6124488844901503, 1.611822045044945, 1.5968601902735662, 1.599495555732739, 1.6039650281513018]","[1.941666653711905, 1.8423955309242526, 1.7932658723925705, 1.7701853517113675, 1.7451066239142798, 1.7312161970271422, 1.7235356615856827, 1.7192327148502689, 1.7036434653516597, 1.7010898063331172, 1.6972791037875432, 1.6971435429267943, 1.689419850730256, 1.6840323851513699, 1.684925667243419, 1.679807441744893, 1.6785468858830686, 1.6750631863533278, 1.672551499725865, 1.6714694862820065, 1.6710859224236476, 1.668471554917634, 1.6650842589782928, 1.6646881095616868, 1.6639860576518368, 1.663827684472911, 1.6597833863989377, 1.6610339398087017, 1.660683790353254, 1.663589452709633, 1.6575860728663563, 1.6577307933258187, 1.6560558637527283, 1.6572573230455874, 1.6569872624213415, 1.6544701227221026, 1.6547352245425704, 1.6550071480886626, 1.6532283312955536, 1.6541674978080205, 1.649915862573478, 1.6508123875909102, 1.6513372066494765, 1.6516330287489502, 1.6500451531833635, 1.6556012612603948, 1.6485680740975062, 1.6483842797359993, 1.6489698708183522, 1.6526908534496965]",0.4232,0.4196796208024696,0.42259706660141133,0.41747858397196536,81.6189980506897,
