Fold,Hyperparameters,Train Losses,Val Losses,Val Accuracy,Val Precision,Val Recall,Val F1,Time Taken,Early Stop Epoch
1,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0.1, 0.1, 0], ""hidden_layers"": [128, 64, 32, 10], ""activations"": [""None"", ""ReLU"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""Adam"", ""early_stopping"": [100, 0.001]}","[2.034430485841546, 1.8147283972984134, 1.7246151393189715, 1.6801139668485063, 1.6520504643007763, 1.625843533120078, 1.6039849969159572, 1.5778425707007357, 1.5654873205194262, 1.5588013954489404, 1.5392116176082344, 1.518345848014155, 1.51334732357143, 1.5121656212445038, 1.495054844385308, 1.5012037668888043, 1.5045613863369052, 1.4793431674863509, 1.4882100721377776, 1.4757086711886618, 1.470958934112903, 1.4745851390512557, 1.4722519939343086, 1.4626880244825151, 1.4559019372446924, 1.4529212034975496, 1.4534180598657909, 1.4258194700250548, 1.4554685362136677, 1.4486464597347493, 1.4471928295165022, 1.4412393262363083, 1.439278076797639, 1.4435519879201426, 1.4476531881828671, 1.4297786372862642, 1.4322589065493392, 1.4310926166027613, 1.4448207969941236, 1.4417992115986595, 1.4298771576870337, 1.428466245341306, 1.4296695603501932, 1.4211981960593985, 1.4229798984358748, 1.4248146317462718, 1.424688738562269, 1.4367265844713137, 1.431165947623071, 1.4434998031901483]","[1.8129982696405291, 1.6970808465567286, 1.6397644321604143, 1.600716625842969, 1.5828254290536394, 1.5541452798574975, 1.534451125172367, 1.5228662247106581, 1.507045943323813, 1.4863916257240017, 1.4841412615534197, 1.4682920466989782, 1.4606341884373337, 1.4638808642971974, 1.4604019803554154, 1.445498943698112, 1.4453914427317756, 1.4398035895713608, 1.4286876186748747, 1.4400990378121918, 1.428390037809856, 1.4258118808541635, 1.4292203535528432, 1.4228962103290046, 1.4271060417125232, 1.4164591176926253, 1.4212962535384803, 1.4120756419672926, 1.4182580993067386, 1.4151905676443453, 1.4174423984201447, 1.403201102019493, 1.4101342604027816, 1.4143661383907344, 1.4148767308049832, 1.4159736417031523, 1.4041270292218218, 1.411062056682936, 1.399916554997426, 1.4122554248235268, 1.4020037701564667, 1.4056292905010337, 1.407341537006136, 1.406961422689826, 1.4037354637115538, 1.4074057698781268, 1.4001504025516973, 1.4007528958260094, 1.4003292652610537, 1.4011675347024868]",0.4986,0.4990728386434412,0.5002935971572264,0.49480937724704727,158.64653730392456,
2,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0.1, 0.1, 0], ""hidden_layers"": [128, 64, 32, 10], ""activations"": [""None"", ""ReLU"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""Adam"", ""early_stopping"": [100, 0.001]}","[2.054825870441186, 1.8046586702097007, 1.7137106291070576, 1.66976351280083, 1.6327913632651572, 1.6021305879712056, 1.5948730741553474, 1.5846404623750836, 1.5619781808894866, 1.5515902029410988, 1.5380444301504839, 1.536261555308369, 1.5190330025370644, 1.493375236042202, 1.4969886620670159, 1.475572909997823, 1.4879782252447777, 1.4943270455259752, 1.4882320448321082, 1.4654973734154664, 1.4638597721927211, 1.454226744307431, 1.4605000298235584, 1.453715358740072, 1.4542683986904985, 1.4587840801168, 1.4429780791858657, 1.4647651643379744, 1.4430206530225407, 1.450936930702267, 1.4419924644110644, 1.4492629730722362, 1.4580754577852604, 1.4394259322051657, 1.44189754911555, 1.4529499059175666, 1.4359875046194042, 1.4403856230359504, 1.4405070643363018, 1.4425919141744468, 1.4289814925967683, 1.4418907133912109, 1.4440901799211476, 1.4297292940357578, 1.429846121977204, 1.4346875522712481, 1.4318328798763345, 1.4241054910925475, 1.438439586389292, 1.4476541104304659]","[1.8198821654704531, 1.695117167698627, 1.6455890240457942, 1.604144390052608, 1.5774506526886871, 1.5562828909872042, 1.5512680204825748, 1.5321419843562674, 1.5254412496937417, 1.5132297521435627, 1.496367522176124, 1.4837581555202923, 1.4695302946489397, 1.4655387091682432, 1.4608522822439014, 1.4499368856342885, 1.446483508175096, 1.4501017028373933, 1.4459190205741697, 1.4363497840888801, 1.4355747671309023, 1.443245863870001, 1.4387218279192184, 1.4324934402899332, 1.4220206321066584, 1.4274502964324884, 1.4234269346104897, 1.418024368286113, 1.4258804802025953, 1.4174669300528202, 1.4205841356465863, 1.4280814569924605, 1.4188547508540366, 1.4194921460789156, 1.4153229453719498, 1.4169267929492053, 1.4128641269799527, 1.4051399918318364, 1.4064502293898276, 1.4006296820484783, 1.4094820713317358, 1.4118497348443346, 1.4133669564419196, 1.4097438009080678, 1.4041346341670105, 1.399763123772508, 1.4077535461058786, 1.4022008967730752, 1.4031208004532754, 1.405898995090801]",0.5034,0.49611087628886824,0.5004816705932669,0.4941600833045892,159.34384965896606,
3,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0.1, 0.1, 0], ""hidden_layers"": [128, 64, 32, 10], ""activations"": [""None"", ""ReLU"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""Adam"", ""early_stopping"": [100, 0.001]}","[2.0644541290695373, 1.8073437829072176, 1.735470406971387, 1.6899796049048554, 1.654507790990771, 1.6203424991614894, 1.59847892563, 1.5704156595222294, 1.566204377701756, 1.5422112207120497, 1.5351573360124635, 1.5195863133765273, 1.503965950604287, 1.5146680220199684, 1.5060325375094317, 1.487569031301524, 1.4913109923820231, 1.4856585832942892, 1.4766433768507616, 1.4738564145126989, 1.4746801378651428, 1.4572779263163762, 1.4780588887658679, 1.4661767233134047, 1.472813719864482, 1.4547202221161262, 1.462824723532597, 1.451633482207898, 1.4309369730346315, 1.4467459980289028, 1.4490618353023148, 1.4355474266444868, 1.44496044464636, 1.4370789488986053, 1.4470848366302398, 1.4263365019748362, 1.4414919211464903, 1.44381636832053, 1.440185714972313, 1.4188044380776303, 1.4420095525903605, 1.436637627289848, 1.4359758748607054, 1.430319738593585, 1.431098445031576, 1.4278806386185339, 1.4331818129914284, 1.435616866789057, 1.432096404717499, 1.427489278294312]","[1.8477371047144378, 1.7408623758371482, 1.6868822459376076, 1.6420678314107695, 1.613920383840592, 1.595967844468306, 1.5704348494591336, 1.5578474025752853, 1.5394135332438659, 1.5305015385564393, 1.5150134639126198, 1.5133566932179452, 1.501680664895769, 1.5011224895333937, 1.4915023736958712, 1.4858835628435103, 1.4885220514473365, 1.482681692398719, 1.4760241385670356, 1.4661449601539789, 1.4595657559437707, 1.4536004802316667, 1.4589909444235407, 1.4525078365920514, 1.4522494744412278, 1.4506796113021747, 1.4471136798512838, 1.4462031071768775, 1.4401344034050956, 1.448230169170332, 1.448826366009626, 1.4373066700184276, 1.447782903380134, 1.4354901065577563, 1.4293402935341744, 1.4389526460762274, 1.4323537066375158, 1.434314464229506, 1.4306974192228157, 1.4253839358785074, 1.4325944140587554, 1.4387877181576187, 1.4240384579762013, 1.4293229403143923, 1.4317103932516841, 1.4207305472872576, 1.4274502868675947, 1.4361583737067318, 1.4362338395266292, 1.428041682308739]",0.5116,0.5070452958293442,0.5108125799580827,0.5069958542726835,160.67577457427979,
4,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0.1, 0.1, 0], ""hidden_layers"": [128, 64, 32, 10], ""activations"": [""None"", ""ReLU"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""Adam"", ""early_stopping"": [100, 0.001]}","[2.076542754449378, 1.8330814031026275, 1.7452768815085382, 1.696687820432315, 1.6527655523814273, 1.6376983561095173, 1.608493055765755, 1.5858584927439514, 1.574985423898952, 1.5578908268745888, 1.541253355548754, 1.5276709186358965, 1.5202278692752103, 1.518515298729051, 1.5109582440144027, 1.4934290709411822, 1.5009716442831524, 1.4880303148356633, 1.4790054358282994, 1.472060117460075, 1.4767044088947063, 1.47355770888427, 1.4616769458714005, 1.4683002895665767, 1.4721356160190548, 1.4581473722641838, 1.4571124674038565, 1.4462505541425152, 1.447631723303635, 1.445747142324326, 1.4519695535740176, 1.4519291116718291, 1.4399547668569088, 1.4407975961920851, 1.4439673218792155, 1.4312086069533339, 1.4371095017718833, 1.4386999714997397, 1.441419405792245, 1.4221879114255336, 1.4257532014878218, 1.4331642108026328, 1.4254140909025885, 1.4387454938950592, 1.4320245240596328, 1.4305024757838913, 1.438993710896626, 1.4282506744901686, 1.436455704853119, 1.430062459693019]","[1.8333872657515253, 1.7246520801388652, 1.6602498239399581, 1.6232319114839817, 1.5991450470674542, 1.5766738412674757, 1.5602055754472826, 1.5352838383632958, 1.533456604890706, 1.5115754857308816, 1.4961789342642176, 1.4956665826036435, 1.4843173582071907, 1.4779972021463763, 1.4709889428062584, 1.4755588045854693, 1.466202850186713, 1.4732078765633847, 1.4612575611999006, 1.4666339902687233, 1.4510402784444296, 1.4516503593767207, 1.4473837625387602, 1.4513456938500142, 1.4450363056451192, 1.4477728815846498, 1.4409415139493296, 1.4484058675441374, 1.440119647451786, 1.4367712659487166, 1.4308046169170725, 1.429713283479514, 1.4318899968239094, 1.4342388136820046, 1.4359378249145556, 1.4294484762534527, 1.4182503803704851, 1.4282026997195787, 1.432134080520129, 1.4198071643228107, 1.422815417954561, 1.4260849531680315, 1.4098855733655247, 1.4304956551385597, 1.4136181228732712, 1.4221379662204667, 1.42410097173059, 1.4252833595575813, 1.4145192619866895, 1.4191514807694707]",0.4994,0.49672618434041704,0.5018151830514435,0.4962643788891796,161.24726343154907,
5,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0.1, 0.1, 0], ""hidden_layers"": [128, 64, 32, 10], ""activations"": [""None"", ""ReLU"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""Adam"", ""early_stopping"": [100, 0.001]}","[2.0967219116026246, 1.8185063480714938, 1.7343974702111316, 1.6881582872710081, 1.640152341894076, 1.6236912749284516, 1.597336750264396, 1.5782506550135906, 1.5648538324129198, 1.5600551169169754, 1.5446086629051714, 1.538613570266114, 1.5248467737270914, 1.5069161855391253, 1.5016853180383805, 1.493158612902044, 1.486658757451689, 1.4804891155136393, 1.4905782915664105, 1.4713431811012427, 1.4635507598280841, 1.4589465627919727, 1.47116148779712, 1.4656391412721812, 1.4650314372622564, 1.4578733570525935, 1.4605835768421012, 1.4558020384554642, 1.4478240154578856, 1.4512827201915044, 1.4452079239396953, 1.4525580893214867, 1.4452186464551064, 1.4574844880550282, 1.4372513780422096, 1.445842762634992, 1.4437155151998873, 1.4284697899048082, 1.4276396238880074, 1.4410097964165947, 1.438806348265876, 1.4356720876071014, 1.4378984764261786, 1.4285093770694515, 1.4290461834855905, 1.4333463717462624, 1.439456692602785, 1.429976180042676, 1.428003929338568, 1.4206976402868383]","[1.846316318006371, 1.7246091367861784, 1.671047616118832, 1.638109941389682, 1.6097027171677107, 1.5838668858465408, 1.5597140314384628, 1.5542905788808712, 1.5368984486384705, 1.5238218040325653, 1.5132763461117706, 1.5069383278633854, 1.4958681548899055, 1.4841229638551452, 1.4812998122060081, 1.481845467522716, 1.4801953726928059, 1.4697912410495875, 1.4657247703121385, 1.4609227250244345, 1.4582354385573928, 1.4633644718402825, 1.4561296548136216, 1.4513384204955457, 1.4473469725955133, 1.44431376051698, 1.4479179004911373, 1.4630474978734718, 1.4474693099687215, 1.4498787245330762, 1.4482377270683484, 1.4427520500762354, 1.4433625893283895, 1.4390558818637365, 1.434981248300092, 1.4346873083643459, 1.4383073037379923, 1.4331328691172787, 1.450717558165018, 1.437513599904657, 1.4288625473692074, 1.4345513552537184, 1.4318275378314191, 1.4231282496140152, 1.4361248044754509, 1.428096181500142, 1.4321285932395553, 1.4333849007936843, 1.4308260517862739, 1.430798424614759]",0.4964,0.4912980481496855,0.49538091306854265,0.48584079417017084,161.69350147247314,
6,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0.1, 0.1, 0], ""hidden_layers"": [128, 64, 32, 10], ""activations"": [""None"", ""ReLU"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""Adam"", ""early_stopping"": [100, 0.001]}","[2.0566787933731607, 1.820572810638432, 1.7348311324520607, 1.674189543917237, 1.6560974977747622, 1.6185237338126155, 1.6018989009718256, 1.5703561980395646, 1.5544214996558259, 1.5462579723484255, 1.531557095644971, 1.5297763657693761, 1.5049093878838975, 1.5038552538423757, 1.489005683643177, 1.4967204333830175, 1.4759009872741269, 1.477716931342363, 1.4704610568180807, 1.475870970742669, 1.467904018159807, 1.4625641489250547, 1.466982116332478, 1.4403990521946017, 1.4594143640457484, 1.458631672574916, 1.44754525399191, 1.4340715944809421, 1.428397894446034, 1.4493116760463667, 1.4296877924259896, 1.4411048599889533, 1.4436399581233859, 1.4416797575445397, 1.4412452866947298, 1.4296324038160186, 1.4270896666583721, 1.436306087762023, 1.4195911647274093, 1.4317959452839975, 1.431835538054485, 1.4249674099527025, 1.431462342521707, 1.4292499196290682, 1.4141983372824656, 1.4242321072577135, 1.432965528146696, 1.430679843074532, 1.420923724019178, 1.4182783495658553]","[1.8231291241408545, 1.7135205081691736, 1.6464609268877575, 1.6059429667411063, 1.5745505968287712, 1.5606817902420793, 1.5291348759258512, 1.5183016521424442, 1.4958200218307613, 1.4882563802821072, 1.4885485416633073, 1.4742068006793467, 1.46593854232442, 1.4572780837107333, 1.451051031280087, 1.4522499790668046, 1.449435965576106, 1.4468015077093361, 1.4405080294676427, 1.4249979446943002, 1.4234512664268644, 1.4269399038306412, 1.4238899570598775, 1.4225296920582164, 1.4179514152220185, 1.4207006976736276, 1.4302099176765315, 1.4141440794128322, 1.4090787491179015, 1.4217943648162077, 1.415696085025272, 1.4174949068489713, 1.4178618233030573, 1.4083619270769578, 1.4032295246826403, 1.4093130010005577, 1.4117874053255903, 1.4009150352053144, 1.399710986809617, 1.403361324452022, 1.3948168924577167, 1.4093423186128058, 1.4023854332900922, 1.4082954723890908, 1.397077275882122, 1.3877403077796138, 1.4015243181182304, 1.396367071853177, 1.3891095662339956, 1.397757893524225]",0.51,0.5068801032675516,0.5097922764216711,0.5021670891815024,162.39040231704712,
7,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0.1, 0.1, 0], ""hidden_layers"": [128, 64, 32, 10], ""activations"": [""None"", ""ReLU"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""Adam"", ""early_stopping"": [100, 0.001]}","[2.069747900805116, 1.8007756207664116, 1.7191836503149291, 1.7003655757457108, 1.656416938023685, 1.603072598779741, 1.6135450473479942, 1.590003569903652, 1.5614086467873127, 1.5463063815076188, 1.529216248068491, 1.5264725349244899, 1.5259298870651756, 1.5083706453880696, 1.4982865889951078, 1.4945231885220949, 1.4777735866254358, 1.4838486047541626, 1.4795634269539284, 1.4777189065198821, 1.468336287091777, 1.4484654781321686, 1.4622758587511953, 1.4535198647686527, 1.4506776358581235, 1.4466699295828451, 1.4516269164391211, 1.4512856796068418, 1.435251131258378, 1.4525035414079668, 1.4490421269756772, 1.4452899300415782, 1.4464276857926943, 1.442205740450078, 1.4387385891787106, 1.4288097553081653, 1.4449624176436295, 1.4306223164090641, 1.4448288307624613, 1.4420051094577673, 1.4346766028277307, 1.4319284540334252, 1.4386519883609452, 1.4419581133820298, 1.4221394427360403, 1.4335011342265014, 1.4231924521239168, 1.4323402279469801, 1.423695325847837, 1.428597658858381]","[1.840818456801398, 1.7078166722918096, 1.657058786076521, 1.6335730341717953, 1.5968394702474245, 1.576412610454477, 1.5664398371826112, 1.550012790000423, 1.5285378673932943, 1.5155012521665103, 1.5072054077794665, 1.5037203018979624, 1.490296668576714, 1.4788920734423583, 1.475798288609003, 1.482410513303296, 1.4810125928788205, 1.469628393088753, 1.4592830886988817, 1.4593281516828653, 1.4597529589201121, 1.4457846556317115, 1.4517555515654057, 1.4477440094159395, 1.4439705814084631, 1.4471628772412863, 1.4549886954037916, 1.432892638153604, 1.434269127911385, 1.4376159196286538, 1.4375529735815598, 1.4382625476125257, 1.4485108666890965, 1.4316885356276814, 1.431797771523488, 1.4445218958119468, 1.4348326695299523, 1.4327463570758814, 1.4380293935542636, 1.4265738588362842, 1.4341042067745722, 1.432379772474605, 1.4350526371775174, 1.4336319966937265, 1.4230069440356885, 1.4264755859057077, 1.4212218587452212, 1.4370946062909715, 1.4406710004990795, 1.4406620641325827]",0.4832,0.4815606524080356,0.48374759194994105,0.47656948196068855,163.41501212120056,
8,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0.1, 0.1, 0], ""hidden_layers"": [128, 64, 32, 10], ""activations"": [""None"", ""ReLU"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""Adam"", ""early_stopping"": [100, 0.001]}","[2.071820212720541, 1.8060537226953834, 1.719012931620556, 1.6840936058766105, 1.6396493083924288, 1.6150392595282863, 1.5902137071153712, 1.5719403510190224, 1.5651680265137606, 1.537573709724031, 1.5409911744941038, 1.5199889260613353, 1.530424389527978, 1.5135412595535729, 1.4949096079889703, 1.4970790756541226, 1.4989602447759125, 1.4960388386217005, 1.487845136766631, 1.4810495748587735, 1.4761667947939061, 1.4810023471697362, 1.4824582345158073, 1.454754610273486, 1.455288419656466, 1.4663928622847673, 1.4585337474629179, 1.4559368276967661, 1.4649895025443977, 1.4530599137719393, 1.4621595457240584, 1.465597926262263, 1.4587346426919763, 1.4497592045490686, 1.4433494374509774, 1.443539071990293, 1.4479580707546937, 1.4531714261351292, 1.4335918255971831, 1.4363667198679746, 1.4361899694821743, 1.4466979043738422, 1.4358877734442732, 1.433621770908083, 1.4280377506021606, 1.4342219150938758, 1.4300383852926852, 1.4473414079190972, 1.44936901494442, 1.424538784942299]","[1.8062418700027818, 1.698673611491132, 1.6348865643748478, 1.6116660363874862, 1.5797192899743595, 1.554095737355432, 1.5366336100780849, 1.5137759090086091, 1.5088180023252176, 1.501117858921716, 1.4883307763439606, 1.4818449149336468, 1.482301376880722, 1.4682528150743932, 1.4673933616680046, 1.462437259342612, 1.470623859286261, 1.454203118402961, 1.4546686002406826, 1.4534101833547446, 1.4449525171170532, 1.4456332064910402, 1.4478604289202166, 1.4479342322850408, 1.4282794138048411, 1.43409667910369, 1.4391354343174765, 1.436299862358236, 1.4367813934445968, 1.4301520646531065, 1.4369300161409397, 1.4272378206425085, 1.4371759646602684, 1.4300416293696099, 1.441859510872384, 1.4373396158605347, 1.431828313091178, 1.420875106473803, 1.4172207258083631, 1.4162292588194791, 1.4261744385701987, 1.4264841201844065, 1.4172938139854, 1.4251877288269865, 1.4282177154071443, 1.4244760870235782, 1.4137811088956935, 1.4224307098317328, 1.4169908166023937, 1.423040056320768]",0.5156,0.5105973083265165,0.5134605696850104,0.5070754942226392,163.0973949432373,
9,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0.1, 0.1, 0], ""hidden_layers"": [128, 64, 32, 10], ""activations"": [""None"", ""ReLU"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""Adam"", ""early_stopping"": [100, 0.001]}","[2.023876008442799, 1.8244492006134068, 1.7453229002067914, 1.6852523420203556, 1.664581712491578, 1.6319384458783723, 1.6050591393301739, 1.5804140688147292, 1.5687467877623735, 1.5567288402203114, 1.534857247717122, 1.5229421528611526, 1.5120855255136343, 1.5221701625865143, 1.512738621828052, 1.4973415481944972, 1.4866919706917658, 1.4865746902331494, 1.4787997113133464, 1.4821536562910973, 1.4795218777790935, 1.4752481281923608, 1.456640334264036, 1.465600643203337, 1.4716678878909928, 1.4576756895574337, 1.4555453169974895, 1.4468390297821703, 1.4425505619180843, 1.462884643444936, 1.4519476118610526, 1.4555222693697782, 1.457258358865609, 1.4502831209740121, 1.42486873909386, 1.431292683582176, 1.4362407406229423, 1.43708296309574, 1.459932608115373, 1.4484447349156857, 1.4452186966384712, 1.439167553649257, 1.4240241798471673, 1.441835143411254, 1.43189821167436, 1.4385642494237132, 1.4345172133904283, 1.4366658548839084, 1.4185353118476298, 1.4362035857954079]","[1.82088828009002, 1.7056140718605588, 1.6582920534712078, 1.621462622728818, 1.592905245058525, 1.5803218802881827, 1.5588072077472517, 1.5304154916799066, 1.5215512972803593, 1.5009448893406765, 1.4935669985765443, 1.4759007430402096, 1.4810722064578141, 1.4739063068988292, 1.4803224889486, 1.4677816543743092, 1.4508416468930119, 1.4732481932907266, 1.4492837658565354, 1.4508992755391523, 1.4394013254192444, 1.4486076213690604, 1.445876780246786, 1.437914918749416, 1.442447836713943, 1.4320430155326882, 1.4486136404675969, 1.4388115759524276, 1.4321374010884975, 1.425604402018253, 1.4267543164552197, 1.429975038649184, 1.4321127034316405, 1.4283771555050906, 1.424594404810297, 1.4186914838801978, 1.4301088746676232, 1.4186260116335092, 1.4265339911338428, 1.4238863931854089, 1.419644224994537, 1.4226369027544963, 1.409393545059947, 1.41766124035806, 1.4183509028045775, 1.415948901335142, 1.415915635876021, 1.414260536826891, 1.4098156356236018, 1.4233020678649246]",0.505,0.512861766675442,0.5066518210515402,0.5038077790822253,164.13894152641296,
10,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0.1, 0.1, 0], ""hidden_layers"": [128, 64, 32, 10], ""activations"": [""None"", ""ReLU"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""Adam"", ""early_stopping"": [100, 0.001]}","[2.058805808942983, 1.803064974054438, 1.727548977442218, 1.6936166870400668, 1.6611754423088754, 1.6151693245781262, 1.594075693675845, 1.5772349114149122, 1.5573972619174095, 1.543511840988647, 1.5375089711987215, 1.5257494982517172, 1.5151207457431728, 1.5139025686617875, 1.4903773707244934, 1.4965974207471986, 1.4892235482561673, 1.479012248677494, 1.474256025077691, 1.4801912882823876, 1.4749165635331394, 1.473539602465335, 1.4857433268291844, 1.4804443621507315, 1.4689773189831234, 1.4475706008997364, 1.46313866369259, 1.4597382587125978, 1.4411467374189912, 1.4522704808197962, 1.4500355760968577, 1.4525370199467342, 1.4511184901101244, 1.4544057543815798, 1.4622780282624763, 1.4308844160609684, 1.4264339780636208, 1.4440428470764355, 1.4465335078696493, 1.4355572160031183, 1.4246494979908804, 1.4258896927018558, 1.4457276864380164, 1.4398509394199328, 1.448675422151993, 1.4366707668670682, 1.433192152426907, 1.4302596149146303, 1.430444652611213, 1.444526734168346]","[1.8066434351290885, 1.6916078613448933, 1.6513171894400598, 1.6038351216191244, 1.5766870015089445, 1.5533066912622744, 1.5439275146281888, 1.5211387017148064, 1.5152081521387102, 1.5023561038676803, 1.491140786602874, 1.4852859714786963, 1.4783585415521414, 1.4824022674921278, 1.4601663057200334, 1.4593247986672098, 1.4617592578279488, 1.4540512838604907, 1.4548155895942578, 1.4503225154254302, 1.441328183583046, 1.4361840598329814, 1.4340379362094482, 1.431175411440347, 1.430763527369686, 1.420805590098415, 1.4290208624853575, 1.429998942482174, 1.4192983021285188, 1.4291521449121376, 1.4242549593788592, 1.4186865962371753, 1.4199899667411437, 1.4291372006778578, 1.4171071504288226, 1.4184667802901656, 1.4170712641026633, 1.4165766766702705, 1.4161301559726795, 1.4143459266835907, 1.4146828987582873, 1.4211511794100231, 1.4259362032496834, 1.4125006729452991, 1.4165465578146021, 1.419653597871673, 1.4119674918252985, 1.4214324481660299, 1.4182913704971045, 1.4135201725979682]",0.503,0.5004184115527074,0.5035788398667145,0.495625058948864,170.52990412712097,
