Fold,Hyperparameters,Train Losses,Val Losses,Val Accuracy,Val Precision,Val Recall,Val F1,Time Taken,Early Stop Epoch
1,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.095850708884049, 1.8634781862812189, 1.7926876493701887, 1.7536571760143, 1.7392428365681305, 1.7113450703871202, 1.6967280061322134, 1.6968622938086835, 1.687540389325538, 1.6765377352770585, 1.6670557093285672, 1.679374533367824, 1.6817508671245007, 1.6694264308438462, 1.646109283159541, 1.6606728096074188, 1.663574037484982, 1.647075609547694, 1.6587594702002566, 1.6489802153743571, 1.6522465251412728, 1.6475567725070641, 1.6404290825013552, 1.6449771712691146, 1.6492385831908898, 1.6295868740591968, 1.6249146041676252, 1.6312131098755493, 1.6477186075145023, 1.6441325246700247, 1.6367452879028828, 1.6296635844529024, 1.6249210260325309, 1.6269774544115563, 1.6132143025037144, 1.614421428094777, 1.6176395345371721, 1.618880531381993, 1.6217135074972189, 1.619513399532441, 1.6210066726564714, 1.6235920820475465, 1.6215068606725545, 1.6094808937468417, 1.6150839305830538, 1.6327675223337264, 1.6141128530930746, 1.618885361166226, 1.6244302779330824, 1.6196632669593272]","[1.9381239091917632, 1.8377632700513102, 1.7932208664295424, 1.7669630689843503, 1.7487046043612122, 1.730880657814748, 1.722654523820687, 1.715176706721639, 1.707627152185068, 1.701454654661148, 1.6991007797653634, 1.6957864565986551, 1.6932414908555449, 1.686033926924049, 1.6802622875276505, 1.679365370578551, 1.6771052720594195, 1.6735578694115845, 1.6740054256820716, 1.6720564949988828, 1.67077606579345, 1.672112307986751, 1.6675883499604425, 1.6666439279683793, 1.6657709749907317, 1.6662600803243113, 1.6603054105270791, 1.6577167759401934, 1.6575864856359432, 1.661655252678883, 1.6613840514267568, 1.6578838856094833, 1.6572272344827494, 1.6564663404625621, 1.6535013890060553, 1.6503765586903079, 1.6544742086090005, 1.6527696798311415, 1.650172527088936, 1.6529840737206778, 1.6498000523645977, 1.6482180828664486, 1.6491106831455145, 1.6479276646251462, 1.6507750278791893, 1.6488794166628629, 1.6440306496605654, 1.6442545288134298, 1.645184348163461, 1.6452716460368224]",0.426,0.4192011935110993,0.42677080736315115,0.418372046201582,70.94814348220825,
2,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.069267323524332, 1.8540052033967105, 1.7887633036243464, 1.745367496477867, 1.7390209093204778, 1.7212678804280088, 1.710350088825428, 1.6869723431942887, 1.6842980270960433, 1.6808473147369558, 1.6769098000814722, 1.676418849391279, 1.6726063644822626, 1.66161529143505, 1.660060768718986, 1.6564254886517498, 1.6430447522914586, 1.65016047760246, 1.6481786166933323, 1.646742451852441, 1.6470531885775475, 1.6375921503018094, 1.6442569010895658, 1.6378384532456904, 1.624242438940892, 1.6423089939749396, 1.6287652237376105, 1.643706364310148, 1.6288794082166536, 1.6394798630049237, 1.6469952433228188, 1.6336764036404936, 1.6314604713442877, 1.633175839562833, 1.6317874013269646, 1.6269264523736162, 1.6144581672840443, 1.636071056452005, 1.6325263027064885, 1.629675312160936, 1.6178908630180855, 1.6124073755251764, 1.6156675436022103, 1.6178700286387342, 1.6179952502703854, 1.6238496473370585, 1.617157361945848, 1.6204810719998664, 1.6208388299039242, 1.6277873672368468]","[1.9200497767640627, 1.8289116573666848, 1.7776109083910356, 1.7552916474971207, 1.738569108977749, 1.7252691871518575, 1.7151611613968853, 1.7061088633967978, 1.6985114444441665, 1.6942272835346066, 1.6877619955343377, 1.684638920777777, 1.6803347194075127, 1.6785425598250008, 1.6754597753797191, 1.672074834168463, 1.66731631208269, 1.6673665868157266, 1.6632325167200885, 1.6598488899418502, 1.65829421065108, 1.6596868620441003, 1.6574108959150453, 1.6578652611934508, 1.6555370523679964, 1.6535242092841356, 1.6558839107011296, 1.6504148713363342, 1.6506067275517886, 1.6494346797106023, 1.650850487827538, 1.6497687059833377, 1.65205674244347, 1.6488287008601707, 1.6459461233214256, 1.6444324485410564, 1.6411752531071795, 1.6466598406913835, 1.6448183987488831, 1.6414334734311138, 1.6415827092976356, 1.6449825642380056, 1.6420096517564273, 1.6439946222275754, 1.642577986847335, 1.639964836769743, 1.6384771687516786, 1.6379727039327507, 1.6406428683243888, 1.6414107015528672]",0.4412,0.43871788949691404,0.4418318881340319,0.4335616832802508,71.54796242713928,
3,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.0851283193458072, 1.8735263399202138, 1.8104963125829467, 1.7662676398684056, 1.7344534433163128, 1.7256719632866093, 1.7068367496447379, 1.709793449865574, 1.6873409476864456, 1.684377500535638, 1.687046324742478, 1.6739085123651865, 1.6735286505426914, 1.6777883613070026, 1.6541316767565084, 1.6621434084128721, 1.664475998615663, 1.6583528445318572, 1.6589710159310114, 1.6564381951160438, 1.6470300343716562, 1.6379787720939782, 1.6434707654558005, 1.6405591660005665, 1.6342051683919958, 1.628331681830207, 1.6506818038767967, 1.6374054376498364, 1.6340982349119162, 1.6393523226659625, 1.6384948472908438, 1.6461284845375366, 1.6274406831421444, 1.6375444335944103, 1.6441259311459473, 1.6300006381395067, 1.6244056176255712, 1.6299738270831714, 1.6335366570229815, 1.6204309495686153, 1.628352920884924, 1.6247332288583751, 1.6359153530877544, 1.619272660024081, 1.6288261571868805, 1.6345188301302516, 1.6157803592135047, 1.6282587988512636, 1.6341471006484427, 1.6197210154368875]","[1.938552064276975, 1.8458020894957727, 1.7962811482313235, 1.7646072603512963, 1.7425469535681641, 1.732565881262222, 1.7178118289880127, 1.715185928896314, 1.7056278294004925, 1.6981751170321902, 1.6924550744924174, 1.6870251847721243, 1.68333747124472, 1.6776397469096518, 1.677800377227815, 1.6753822796561915, 1.669237289113571, 1.6734340596331465, 1.6688650845446968, 1.6662148623164241, 1.6664900010077839, 1.6623822300352673, 1.6606488414142049, 1.6606097556921864, 1.6587393839553553, 1.6559490252572453, 1.6549814976601345, 1.655589252534353, 1.6551355375899264, 1.6527011317651625, 1.6517066110592953, 1.6513652979769613, 1.6508230321775008, 1.6497922071340894, 1.6459751769619888, 1.6461987584920357, 1.6462987478276623, 1.647644115269433, 1.6469248476036853, 1.6434725554391967, 1.6457461708144823, 1.6433676645045519, 1.641883533713497, 1.6420593150920577, 1.6428777651539117, 1.643460432338226, 1.6406386030523943, 1.639024541195223, 1.6400212543958663, 1.635902259720541]",0.426,0.4219970554660223,0.42746765812169707,0.41953421683857234,71.8156328201294,
4,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.0731754406898295, 1.8677555532240069, 1.7906496951320865, 1.7698282177717102, 1.7408223965944487, 1.7201959507065947, 1.7121868493190127, 1.6856084618318028, 1.6794733548615406, 1.6751230820439038, 1.6721567239740265, 1.6710394254694996, 1.6724153159213153, 1.6732145852953997, 1.672288496346121, 1.6613344044719305, 1.6531784065120614, 1.6637132162018853, 1.6466618010296612, 1.6444413492325007, 1.641486016418681, 1.6616158737907354, 1.640133274410795, 1.6447711752694607, 1.6377203351809164, 1.6420722528598977, 1.64906393950774, 1.632372073433414, 1.643208815358149, 1.631293841865508, 1.6431440899059033, 1.6368965592443134, 1.62480113011528, 1.6336203374802443, 1.6306362598153497, 1.6205155616155766, 1.6336692751744568, 1.6356879784441596, 1.6277436265071137, 1.632474093190603, 1.624019316348806, 1.630238428364296, 1.6345502169549126, 1.6341113908915823, 1.625102934205653, 1.6282244876382546, 1.627318106690783, 1.6178033800960163, 1.6196689552695833, 1.628681505087529]","[1.928229988394701, 1.8317891037299687, 1.787130603591332, 1.7565199094792683, 1.7365907442386164, 1.7216119946587272, 1.713782261325622, 1.702665108980464, 1.6969326357743513, 1.690627108669489, 1.687162067742236, 1.6827435059801792, 1.679212028249813, 1.6797123104345486, 1.6743973513605175, 1.6734362597711894, 1.669161011283008, 1.6710069791867868, 1.6645915830513907, 1.660002328941325, 1.658828917280853, 1.6582207924339674, 1.6594241836010057, 1.657137076564972, 1.656265237854689, 1.654615861929376, 1.6521527985561664, 1.6495238336055722, 1.6501174313312141, 1.647997742221562, 1.647656972703548, 1.6485250180672335, 1.6440120982237088, 1.6461582972614124, 1.6446660355009113, 1.6448315027247296, 1.6449270858583076, 1.6424027506895393, 1.642443617024336, 1.64193596507112, 1.641818077615957, 1.6428806131930884, 1.6421483501723901, 1.6414357266088322, 1.6433257056813495, 1.6399216143496276, 1.639950302583638, 1.6391388962451872, 1.6385036856776642, 1.6381631245312913]",0.4334,0.4280337051435009,0.43281105377356466,0.4250067469355125,70.61086320877075,
5,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.0926259829453815, 1.8678308811320496, 1.8004881442345009, 1.7593609782042396, 1.7351858625334766, 1.7331345963389377, 1.7089300003561798, 1.6971356878344626, 1.694826110919052, 1.6840646152074454, 1.6875915599999174, 1.6697586367809307, 1.6681415978630578, 1.6561285393520355, 1.6628995263260324, 1.6559950318316703, 1.6553106134236988, 1.6552466448830214, 1.6617646405814717, 1.6597732878303133, 1.6403944376632165, 1.648987536155463, 1.6381419679545046, 1.6383550876364505, 1.6373315307956466, 1.6311772353115939, 1.6379291999336913, 1.6374548090185, 1.6343704247683666, 1.6358673734459974, 1.6353487459409357, 1.6323021986791095, 1.6231989960427209, 1.6210119858821097, 1.6223261237153124, 1.624174427483497, 1.6179196379386969, 1.6378932896354876, 1.6245432339129167, 1.6379018251629534, 1.6319851196376762, 1.6366413439327157, 1.6282302442325964, 1.6223632950043567, 1.6255942592933321, 1.6274228056073843, 1.625281571885988, 1.6102465860334303, 1.6146743894302862, 1.6171250195615516]","[1.934906564552959, 1.8392805842155253, 1.7918110336902122, 1.7615897989040612, 1.742072735199931, 1.7296676862510718, 1.7172060614695366, 1.7081143935582928, 1.7015373202692292, 1.697547434381079, 1.6933926439128215, 1.6852814911049656, 1.6802997458722047, 1.680248177569802, 1.6781791895869278, 1.675534687524762, 1.6755106314677701, 1.6723308802415369, 1.6710912546639018, 1.6660745850712018, 1.665224664212631, 1.6629035575483488, 1.665248121994693, 1.65977568540809, 1.6595786878798893, 1.66166818992495, 1.6596011346175294, 1.6567384493773705, 1.6596310338658, 1.65513632011255, 1.6575577464277569, 1.654502864190446, 1.6490951997745866, 1.650609446066415, 1.6472629684146152, 1.650523268634712, 1.6473974187274678, 1.6475058265905587, 1.6476170420601848, 1.6478362417234362, 1.6503470321635654, 1.6492884533055494, 1.645489821617552, 1.6464582274665598, 1.6440162075492473, 1.644271049886127, 1.6444419601154208, 1.6443843600353691, 1.6419817513264872, 1.640411833803323]",0.4214,0.4167712128556638,0.42301975864258745,0.41594218595483223,71.27007412910461,
6,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1121076163473145, 1.860284592872278, 1.7848973476782541, 1.7496529345539715, 1.7178866557634054, 1.704571727466622, 1.7037540798219044, 1.6977042113682983, 1.6767601614858636, 1.6798551766731291, 1.6787608567564682, 1.6650378736617328, 1.6690413020208408, 1.6673306588907217, 1.663168761326191, 1.6609920545989376, 1.6561800346736544, 1.6427535171481704, 1.6517394824226679, 1.6551525467125605, 1.6425157282790979, 1.6335808508439358, 1.6364214569406774, 1.638968800859606, 1.6282077112539914, 1.624141944820952, 1.6289616305639236, 1.629743479199435, 1.6375545348096312, 1.6273410090869806, 1.6304862001918676, 1.6228070057152666, 1.635352787379297, 1.6271743256397468, 1.639638737068113, 1.6212799811825795, 1.6237988173135023, 1.6270535950493323, 1.6257256460883247, 1.6184283102239816, 1.6260305237218886, 1.6256820868244723, 1.6233815319463094, 1.6273531643044479, 1.618112769880435, 1.6125804810905067, 1.620636077178551, 1.6230468138781606, 1.621056553436537, 1.6145937304798843]","[1.9594712870656819, 1.8571853595461552, 1.8060598390540825, 1.776789017175119, 1.759852588688072, 1.7449723739825505, 1.7379439443907776, 1.729372935726805, 1.722080216235998, 1.714114959940713, 1.71063522462148, 1.7052288837989251, 1.7034642483545834, 1.701693288193144, 1.6977853115578287, 1.6938510600832895, 1.6912611789618186, 1.6881686146060437, 1.689873818571432, 1.6855088501654776, 1.6831021419894299, 1.6819250832371861, 1.679718139151384, 1.6772616853555304, 1.6777703377032798, 1.6776164303748777, 1.676289602695476, 1.675186705239083, 1.6754400446569264, 1.6741205731547368, 1.6705755649497906, 1.6729772070227213, 1.6700351853448134, 1.6706771317231468, 1.6703019822697738, 1.6672655868653725, 1.668799024249353, 1.6707118689379699, 1.6661048031166825, 1.667898761128143, 1.6643638069159081, 1.6631423678357073, 1.6657124035939386, 1.664153876979565, 1.6589497428258786, 1.66248972895248, 1.6607026160216687, 1.6612905763911328, 1.6600762439330454, 1.6570079827982147]",0.43,0.4257568637507891,0.4302692554905437,0.42422243745134314,70.90758156776428,
7,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.109752701353474, 1.8770408409472297, 1.8016942146623507, 1.7615256656153182, 1.726192479759272, 1.7161087063753084, 1.7156745891025504, 1.7075672496052516, 1.692500371613049, 1.6822384870964364, 1.6732822180753266, 1.6780428318275087, 1.6691818036517394, 1.6693555517975212, 1.6599998355037668, 1.6616096917597172, 1.6442049199896231, 1.6518475466711426, 1.6558825727425541, 1.6575612579414645, 1.6426278497365336, 1.6523828779140546, 1.6507382887930417, 1.640518325557284, 1.6266639343180616, 1.632590513042538, 1.6340338469348838, 1.6350492116567266, 1.6378334412264666, 1.635908157721726, 1.6501765861175903, 1.6347122435517842, 1.6356769243562845, 1.6384791700920018, 1.6320494674091548, 1.6272721018320924, 1.6314947343767459, 1.6356105098659877, 1.6090983796749496, 1.6273213171848522, 1.6248041476069095, 1.6178027989531654, 1.6316735742198998, 1.634832281348897, 1.6292173851427636, 1.6369756110726073, 1.6244780112760888, 1.6274030247154447, 1.6156299859465602, 1.6262765716389345]","[1.9654115615643146, 1.8658676399023635, 1.8176191726137731, 1.7839476960680538, 1.766730443509465, 1.7496510586190503, 1.7379715266315878, 1.73026021359328, 1.7225181742705615, 1.7195226061169377, 1.7116241832373602, 1.707411516832147, 1.7068643151168554, 1.6986270453707395, 1.6922093585032665, 1.6901171452886465, 1.6864879659972023, 1.6858933140376058, 1.6860717401657987, 1.682112916663866, 1.6754510203788864, 1.6769823865496634, 1.677258772716044, 1.6737673571185747, 1.6742458492386365, 1.672715246041953, 1.6727314321880213, 1.6713469889288535, 1.6702481442913686, 1.667828628560094, 1.6671470778009017, 1.6678097036814281, 1.6710983321089306, 1.6674796591710708, 1.6662969598366144, 1.6628067186476467, 1.6654893303383564, 1.6646157497923777, 1.660760075367475, 1.6610939711950103, 1.6593472621983343, 1.6619678181857886, 1.6634663772896952, 1.6621351181155304, 1.6608364418034252, 1.6624107243182724, 1.6616589152700552, 1.6577114873582606, 1.6574462297832158, 1.6568609454679146]",0.4258,0.4226154369982381,0.4251889221645201,0.42088188351893907,71.71282839775085,
8,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1128309307497566, 1.8828959431094046, 1.8017447728921336, 1.7610885566258956, 1.751108597530049, 1.7246240926468215, 1.7054132519488225, 1.6909167423330063, 1.6833469714493963, 1.6902439747391624, 1.6790091734435755, 1.6697574242795878, 1.6568912793689916, 1.6634194515944445, 1.663922089809526, 1.667369473017429, 1.6477025752764445, 1.646402225202193, 1.6449121855550737, 1.6497815380148344, 1.6338504121963737, 1.6356008079845503, 1.6452206415957098, 1.6276485661900422, 1.6318349468602098, 1.6290591249049906, 1.6371133231947872, 1.6265740316527397, 1.6426952106611306, 1.6368560988365, 1.6372332712681266, 1.6331220444048995, 1.6246262739360704, 1.6237889140633128, 1.6285371287193184, 1.634690591716573, 1.6177492166515899, 1.6127117561759898, 1.6259473933107589, 1.628417948362693, 1.6156432354189088, 1.628668711478485, 1.6300124347999534, 1.6241288438601216, 1.628314425676111, 1.6162170567399057, 1.6201604965565208, 1.6136291555921745, 1.624513233539411, 1.6266868492274749]","[1.9481819533447537, 1.8475229069435812, 1.7995452465843034, 1.769086722636799, 1.747002499505258, 1.7311426316963363, 1.720959424458779, 1.7043927311372704, 1.7023368131431424, 1.699752469744005, 1.6914787335034889, 1.6831678872281388, 1.676888158841936, 1.6741964314082718, 1.6721672674948045, 1.6727557573517828, 1.6677360326306596, 1.6650683230269314, 1.6595983163166064, 1.6608499724754084, 1.6545301512249706, 1.6567880389004586, 1.654683163814004, 1.652985097009698, 1.654899735846302, 1.6523231512535004, 1.6494681875348658, 1.6497895162389242, 1.6517105161000873, 1.6488925771473313, 1.649391449529265, 1.651502692237578, 1.651899195955904, 1.6475512737193956, 1.6472940866669574, 1.6484071602485215, 1.6426020790316234, 1.6441649336239694, 1.6448927540867426, 1.645053036713728, 1.64208884366173, 1.6412225657725845, 1.6380361529276124, 1.639267766930312, 1.6403188481212827, 1.6416756168475308, 1.6458587212823077, 1.6389708089047337, 1.6423714761577697, 1.6410636007955588]",0.439,0.4346621862969104,0.4376159973793946,0.4330787817019539,71.4026529788971,
9,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.0977105477524223, 1.86605093504724, 1.7977414891617842, 1.7585203080615637, 1.749777026959502, 1.7331045947657322, 1.7111552901965084, 1.7130727203725675, 1.6909734063183777, 1.6862270801680563, 1.6816576424879501, 1.677261710265601, 1.6819519348674774, 1.6756133879929522, 1.6597323029850215, 1.6707564063138396, 1.6545255133675223, 1.6511355536619348, 1.6443127641194095, 1.6495051181158413, 1.6432317304390427, 1.6415561410894361, 1.6419803202363479, 1.6390512419619927, 1.6471845934717564, 1.6329532832043452, 1.6450569434659892, 1.6434118259003334, 1.6411943628306036, 1.6493975747564718, 1.6325607093270744, 1.6360759747508133, 1.6539879780727245, 1.6347978028650672, 1.6332152652761711, 1.6570692492544505, 1.6220814493882076, 1.6395266326447961, 1.6321242259128605, 1.6382281773483134, 1.6271259062914831, 1.6362985919917479, 1.6354025947147386, 1.625128129776326, 1.6301571540319477, 1.6281938495555168, 1.622987470218093, 1.6177051400473632, 1.625568185547275, 1.6300093307230896]","[1.954830021484112, 1.8519557250164493, 1.8047339561496862, 1.7782398087056812, 1.7547414253183489, 1.7403374417745225, 1.7262052321129726, 1.7212136408408245, 1.71310303514, 1.7024708762054426, 1.6997854066723748, 1.6946964903223891, 1.6892087145202954, 1.6869661437070769, 1.6790116953269314, 1.6794896119683602, 1.6770861696537795, 1.6765655371893728, 1.6702569835538714, 1.6691886779794185, 1.670598673385689, 1.6687662977299784, 1.668254184305363, 1.6655411953932002, 1.6627761610196679, 1.664323147149789, 1.6628989891984716, 1.6639735587400755, 1.6605564484545983, 1.6636722101610488, 1.661242214528644, 1.6561895490282943, 1.6621312021844823, 1.6592677597454617, 1.6574461768369808, 1.6556702275533717, 1.6558620516941709, 1.6564297605749974, 1.6543361821949012, 1.654497309751765, 1.6541694486546898, 1.6525142243321933, 1.6501410900419633, 1.650958177794473, 1.6517666227455774, 1.6463005140659746, 1.6486312850410336, 1.6518813333752451, 1.6497817842332887, 1.6488524515020855]",0.432,0.4301085906732993,0.4313880694355935,0.4248483933278018,71.26260423660278,
10,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1228888193716253, 1.872618734391621, 1.7997052592319995, 1.7628372719037677, 1.7402809333720504, 1.7095487907559812, 1.7108890388007127, 1.7044061711980574, 1.6878311590576922, 1.685405151885134, 1.6828455935593698, 1.6780472622944407, 1.6678501903590293, 1.6627493760825782, 1.6531502412352956, 1.6461003467311681, 1.6644855321486671, 1.6531311816162844, 1.6521954653066493, 1.6565369713938982, 1.652916257251456, 1.658480461265972, 1.6473562657325775, 1.6402198326515613, 1.6415088029167608, 1.6426918654772789, 1.6327416039227178, 1.6447029808160596, 1.63050549102633, 1.6310580283289284, 1.6341085671081854, 1.6349191671058891, 1.631738305510998, 1.6187201652349092, 1.6348634534229098, 1.6270655303554757, 1.6387204533171, 1.6336012374866664, 1.6260093262202644, 1.6334740130438732, 1.6347507718999403, 1.630351195583285, 1.618660882720158, 1.6283287330382057, 1.6182348794462496, 1.627512638325858, 1.6131989440601038, 1.6242787142927915, 1.6243891013801608, 1.6306255011440012]","[1.9552161387906657, 1.854499783560743, 1.8025739604137998, 1.7719797632388974, 1.752411711373735, 1.7392816934143651, 1.7249421992944378, 1.7133429117813102, 1.7057592294850306, 1.7020669376668203, 1.6990618696770878, 1.6971228970988501, 1.6907902099380858, 1.6864831123928339, 1.6848946018736328, 1.6801731574988974, 1.6787425962689841, 1.6774286549159334, 1.674150395095436, 1.6735777895405943, 1.67038880018939, 1.669735515955868, 1.6674982241971716, 1.6636649458182688, 1.6659088693098223, 1.6657713109338754, 1.6639877453201182, 1.662941061339785, 1.6591354984250417, 1.658910349042937, 1.6588305713335474, 1.6565622855322621, 1.6577949329754156, 1.6572471735288323, 1.6525568541194315, 1.6547981259886615, 1.6546010842088765, 1.6549807475621958, 1.6542198285983831, 1.6564302867922833, 1.6527709488822688, 1.6531062391253735, 1.65044914547141, 1.6506178058683807, 1.6481323017753549, 1.647698437394239, 1.6487610486605608, 1.6461834427166662, 1.6509999208349195, 1.6468849811597825]",0.4338,0.4294447909214142,0.4315508216691527,0.4264773746539213,72.17493677139282,
