Fold,Hyperparameters,Train Losses,Val Losses,Val Accuracy,Val Precision,Val Recall,Val F1,Time Taken,Early Stop Epoch
1,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.128602706856402, 1.8732740702722648, 1.801598041641568, 1.7574579861718074, 1.7391585016220086, 1.7296927296893196, 1.7035308570089684, 1.6964923913666412, 1.6920082439900745, 1.6903464777700195, 1.6696706334563887, 1.6746929435629059, 1.6716828160398791, 1.6756700696404807, 1.6656596057555364, 1.6652510983180566, 1.6675611171288607, 1.6551574097273345, 1.6575065525336001, 1.6569606746335162, 1.6449653439887253, 1.6515643197615864, 1.6432021825428471, 1.642886258739215, 1.650216999050716, 1.6342863840893755, 1.653811719640845, 1.650351879052909, 1.653655240190372, 1.6332511498529962, 1.6469692266446945, 1.6343600096570379, 1.640510249652608, 1.6477694105912368, 1.6394903160195249, 1.6260167237889394, 1.631731206844166, 1.6413409583298841, 1.6372932539624787, 1.6236512125955682, 1.637421525947912, 1.6282651579084664, 1.6293042908539566, 1.6128290484357937, 1.6177451302763284, 1.6213137893746936, 1.6194824758986237, 1.6274108424456948, 1.6182962997126569, 1.6275969516617066]","[1.9400573034521054, 1.8449675105924417, 1.795043807904717, 1.7616899518955313, 1.7461309787008954, 1.7350509028980226, 1.7232643520178164, 1.7135825908454703, 1.7065549548278045, 1.7011966349237475, 1.6947295534177966, 1.690684050689335, 1.6869357987289335, 1.6847189663038975, 1.6838766928850046, 1.6809122366713343, 1.6773545244856933, 1.674682652590525, 1.6733039695479806, 1.6673503340273557, 1.666344725468816, 1.667084449528416, 1.664549481203437, 1.6633826801157854, 1.6615843945196487, 1.6605767864771674, 1.6642007657281888, 1.6612596639231783, 1.6615990394765463, 1.6565343183813508, 1.6557779500419207, 1.6537024614891562, 1.6510471472830963, 1.6512674185645486, 1.6530542907180306, 1.6541867592502695, 1.6522203809579359, 1.6553025117685123, 1.654878321066092, 1.6500849683651873, 1.6505077215273973, 1.6502698774197189, 1.6478721712231517, 1.6511047598489546, 1.6498702789296469, 1.645430551457643, 1.6443577955101158, 1.6429046748902731, 1.6444338260087734, 1.6409458742026586]",0.4236,0.418033234740422,0.42525613526655864,0.4173642342552239,76.29409313201904,
2,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.142997969238695, 1.8682245671260882, 1.7980037396801787, 1.7584495874446409, 1.7383845180280164, 1.7102025179024285, 1.7042152806735589, 1.7046190149145284, 1.6991824564637084, 1.6895926726757464, 1.6773700845939572, 1.6643391378751675, 1.6628651846118003, 1.664628240574702, 1.6443453665733743, 1.6595258777243014, 1.6472541411532293, 1.6584115364464418, 1.6514016683489863, 1.649563229659115, 1.633149328165685, 1.6523583386548333, 1.6478449382842082, 1.6370526934975889, 1.6444555792679998, 1.6340699052425554, 1.6283371500693875, 1.642827333579404, 1.6442269021972293, 1.6354955608692836, 1.6419279936481488, 1.6286301607938318, 1.6395805146565434, 1.6362229679768905, 1.6247878734082264, 1.63377629536651, 1.6150053132025466, 1.627511745808928, 1.6148962049309417, 1.6321992855783403, 1.617077866439596, 1.6273992647106985, 1.6308218337829892, 1.6179294146113579, 1.6337699665934708, 1.6331372683493517, 1.6285323679044286, 1.620870354314761, 1.627811822844437, 1.6189473806533103]","[1.9536710271461482, 1.847930599640504, 1.801514877861486, 1.771991881637783, 1.749414528402163, 1.7343317181904596, 1.7254194859643817, 1.7178720893754174, 1.7099647856394011, 1.7025561117185417, 1.695430911182165, 1.6913940577369602, 1.6874117899908436, 1.685805295110557, 1.6798270291619244, 1.6807256718542325, 1.6788101238999036, 1.6729487999639547, 1.6765937522916716, 1.6693148871047687, 1.669561136509636, 1.6681837535604644, 1.6635892226673845, 1.6619330136160926, 1.6664868852688426, 1.6628071853739432, 1.6577149527338462, 1.663959861734539, 1.658214523643663, 1.6581915018957163, 1.6556734395870787, 1.655662708253182, 1.655756882284858, 1.6539728624092407, 1.6544023850649967, 1.6539111407033626, 1.651107050701435, 1.6503408212498456, 1.6527051691343837, 1.6514147695634787, 1.6478903865993353, 1.646800346682341, 1.6477446501715651, 1.6476716025872746, 1.6488064780127056, 1.6473683434224433, 1.6483787226133426, 1.6456281590998976, 1.6475845556275555, 1.6452492733357307]",0.425,0.42010556067594473,0.4249513688458707,0.4170608272137616,76.18038082122803,
3,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.098910029219051, 1.8629720142110244, 1.7905465489898476, 1.7589704887582216, 1.7363001864557441, 1.7212492423912569, 1.69590405463538, 1.6909696809865964, 1.691349095233073, 1.6914194031884147, 1.678481313737321, 1.6721041334429616, 1.6722889570472197, 1.6572205960319868, 1.6618945658156603, 1.6491161798611336, 1.6434942543567006, 1.6453935277031635, 1.6426226670682995, 1.6344692195995096, 1.6495593304080598, 1.6458105377326926, 1.6330306974396194, 1.6441349060446009, 1.6349044873428298, 1.6279607537453216, 1.6344412454109407, 1.6393036191622163, 1.6318570122803457, 1.6385009165813889, 1.6337548522138434, 1.6340226556368345, 1.6322263422620105, 1.6371215820789886, 1.6235311123277092, 1.6236891511109037, 1.6320243851858993, 1.6182423525240874, 1.6270731449474622, 1.6329335109312473, 1.632624215920169, 1.6259632709586957, 1.6367250632316204, 1.6339952785118534, 1.6236555303063411, 1.635645627479263, 1.628517274124848, 1.6360720526112578, 1.6099975547078744, 1.63524352782001]","[1.9263984400329788, 1.831159199682566, 1.7850400014315753, 1.759484495656738, 1.7429990042624632, 1.7301751097733629, 1.718943713537901, 1.7102232379180924, 1.7057867982513264, 1.700470194598781, 1.6940305864767622, 1.689050245244906, 1.6848521289495157, 1.6823866351458054, 1.6792404271200458, 1.6783211983062436, 1.6706638338099582, 1.670548885070508, 1.6691293430140395, 1.6659906236352613, 1.6647904158183036, 1.6651301261821543, 1.6623411698515846, 1.66433738558869, 1.6611019764235873, 1.6591260335787046, 1.6616254888193391, 1.658203926332776, 1.6583658251547364, 1.6608310785794769, 1.6595386195287793, 1.6569749785116925, 1.658044434845863, 1.660487891046753, 1.6542384300393034, 1.656080432787178, 1.6549173025207045, 1.6536597404521904, 1.6529061602067414, 1.650688749044631, 1.6540603927314128, 1.6507110171306474, 1.6511881287787724, 1.6540089702657925, 1.650916681137446, 1.6515811007232215, 1.6502191146296707, 1.6524739396232035, 1.6466856905637268, 1.6522070078639837]",0.4318,0.42491040862472496,0.4294937788725456,0.4222971932582985,76.42756223678589,
4,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1191719923546635, 1.849628266334342, 1.7862014172085496, 1.7488110939336006, 1.7348069236906614, 1.725595506843243, 1.711844148229357, 1.6948246982738446, 1.6843525568044033, 1.6725771487009582, 1.675338689789607, 1.66377897070291, 1.671265701088888, 1.6588983932476336, 1.666998727763383, 1.6564194096706, 1.6516754995755998, 1.64659553274113, 1.6537253009511448, 1.642468211383143, 1.6439322958557154, 1.6438557889383558, 1.6334769302970868, 1.645331519986055, 1.6377011553086218, 1.6488119357989166, 1.6256158962003489, 1.6391408691033773, 1.6345501269659661, 1.6442427982781793, 1.6343085848042618, 1.6231505651928257, 1.6264555583226974, 1.627426921744959, 1.6262303406346876, 1.6255914233510291, 1.6324677997699304, 1.6216604092747426, 1.639006289126177, 1.6251324868395065, 1.6226071463187681, 1.6208305969214238, 1.6223298101887722, 1.6195719978264798, 1.626645383400853, 1.6207919924625125, 1.627444945581948, 1.6155443425035496, 1.6319589203413187, 1.6108941623439197]","[1.9423760241919072, 1.8386985026428166, 1.795472506403064, 1.7666569677499748, 1.7532565184884596, 1.73657660661012, 1.7279717030476616, 1.7185724636798594, 1.7136732808196469, 1.7048742720801455, 1.7031668087677885, 1.7037103344692366, 1.6969509098098263, 1.6960497330977384, 1.6952022300397962, 1.6915443535193564, 1.6920555596046332, 1.6855710725897821, 1.68774913997388, 1.684898239092407, 1.682125207307677, 1.6800324717120696, 1.6742517313577403, 1.674766140744614, 1.679354715654159, 1.6782384237380181, 1.6735975433264396, 1.6734317059157802, 1.6729021812222162, 1.6747034165146797, 1.6704310079879054, 1.6694542810313315, 1.6662563402073847, 1.665981823103034, 1.6693840363701165, 1.6669386018222832, 1.6657777606910167, 1.6632681607848645, 1.6673474702486055, 1.6636556265705704, 1.6625982277494178, 1.6594992297134092, 1.6614723064106598, 1.6583373781824484, 1.6610778087586842, 1.6603066769255856, 1.65864105733908, 1.656620094918322, 1.6587947533290603, 1.6570794472307029]",0.4256,0.41758482882722114,0.42400669966162396,0.4175091481620042,76.22906517982483,
5,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.135532821292202, 1.879577595234857, 1.7992700297282123, 1.7639225408314245, 1.7405145052419426, 1.7222640893007717, 1.7086202126351642, 1.6906685488401825, 1.6843253831335265, 1.6746887084765085, 1.6815903377331753, 1.6728639400030596, 1.6540647607873915, 1.670666765090578, 1.6610436988748694, 1.6716431453477867, 1.648808074948493, 1.6655310399918555, 1.669171634676389, 1.6556781051728118, 1.6616334039126532, 1.658588486095519, 1.6508401298153936, 1.649570632821916, 1.6571996026293094, 1.6471617072686764, 1.639842130081989, 1.634424249055432, 1.6402683578354287, 1.6429117600603915, 1.6381916635376053, 1.6294098991194104, 1.6344646585157736, 1.6331495069493591, 1.6227098009177, 1.6256382065499835, 1.6397865097918487, 1.6371679473597809, 1.6347763972595826, 1.634302472463081, 1.6317282762056093, 1.6221296613318008, 1.6300684705861974, 1.6255770376679708, 1.620699534280982, 1.6301222471409458, 1.6211874110253648, 1.6195548844905745, 1.6267261933678483, 1.6242137435022392]","[1.9564751122880712, 1.848048252666686, 1.7927525495442898, 1.7612187561027222, 1.7417962424676852, 1.72417168452193, 1.7133106122919577, 1.7039097341366065, 1.701584526918329, 1.6922888652626846, 1.6886301222348905, 1.6871911635697014, 1.6795315347582656, 1.6781389333367176, 1.6756201984620551, 1.6761022195539566, 1.6700581146360565, 1.6671247114710575, 1.6684585228738116, 1.6647396068109135, 1.666290919871769, 1.664596874964133, 1.6579780294409976, 1.6611092529657558, 1.6587847075226811, 1.656074499524744, 1.6573836096746621, 1.6514955414106909, 1.6512673079846985, 1.65353282682946, 1.6484500207250814, 1.6486325118776957, 1.6465903343012012, 1.6470599496784435, 1.6488193620218485, 1.6467209645771894, 1.6482270598123505, 1.6467615612003952, 1.6478834269874199, 1.6454968559674976, 1.642240124651348, 1.640311791843673, 1.6434319514086448, 1.6391998822397988, 1.6405875601502973, 1.6387642336467765, 1.6413153878143436, 1.638015078834815, 1.6389179547036692, 1.6352826010549193]",0.4346,0.4280743250901617,0.43403635893924813,0.4259885261950657,75.81484627723694,
6,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1246429590216374, 1.868444561972111, 1.8018330475918984, 1.7648012060115543, 1.742678506295249, 1.7278420048099916, 1.702143725526911, 1.695860208756049, 1.6907142359364322, 1.678361662635922, 1.6672314829851411, 1.6728189241214888, 1.6785024643786866, 1.6533003329400244, 1.6616735742265802, 1.6652224947259089, 1.651011367021192, 1.6576185521827445, 1.6565667995569315, 1.6531511153681788, 1.6545874051434013, 1.6462609315179897, 1.6580018733561397, 1.6590251576304464, 1.647558292583686, 1.6387575203709726, 1.6374704144001557, 1.6459093057815237, 1.6336985122214185, 1.635188346940158, 1.6475014423146819, 1.6459033168993993, 1.6367018823894808, 1.6212406682962028, 1.641098635367778, 1.6312112178881817, 1.6290968165939876, 1.6283707991029879, 1.6290891126410176, 1.638531151862619, 1.6229813624985139, 1.6274451837952235, 1.6266862577383736, 1.6301485070075963, 1.6289080702686385, 1.6231805611510202, 1.627608829089538, 1.6200782519150838, 1.6309723874331181, 1.6231208302921813]","[1.9562071537388868, 1.8501590850713299, 1.7982053143212893, 1.7659946136687628, 1.7441299397948664, 1.7358336784361246, 1.718639101106469, 1.710463697076316, 1.7043573525970401, 1.6982388398817838, 1.6927064683377975, 1.6862506014255298, 1.682902499238641, 1.6810017264777468, 1.6793477006195012, 1.677878777399032, 1.6733601321285052, 1.6699456552453193, 1.6712385992701198, 1.670778620379624, 1.6675343505810547, 1.666407499235042, 1.66575378343868, 1.6630107044848512, 1.663331380975906, 1.6613092295819567, 1.6579720262514623, 1.6628449271775732, 1.6586626109582931, 1.6553209018176134, 1.6585228178212243, 1.6556350069068044, 1.6541148049375864, 1.6529153731041633, 1.653678506561929, 1.6539045970212574, 1.6515823546137698, 1.652746828545277, 1.6496644901615412, 1.6481142792567822, 1.6500581873821967, 1.6488476928498523, 1.6526142018004573, 1.6498940674792348, 1.6485736840319172, 1.6489046987622473, 1.645885419876315, 1.645539596743215, 1.6490497305204694, 1.6477153771441164]",0.423,0.4199638332505642,0.4248197860872008,0.4202960564142849,76.33527684211731,
7,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1033659657857706, 1.859948988721128, 1.7975075011878856, 1.7580990686395517, 1.727562341879863, 1.7259257104846413, 1.7058104661084081, 1.7032148201109938, 1.6886624287423775, 1.671760119420365, 1.6778940057469303, 1.6616748423704037, 1.6682941998554532, 1.6612596468159198, 1.6666114106454875, 1.6486465969934678, 1.6570416605352776, 1.652231124495617, 1.656702549646595, 1.63201792541494, 1.6426056812085972, 1.6438795183886534, 1.648362643348764, 1.635515622646697, 1.6592278903718753, 1.6509552609388387, 1.642446801536125, 1.6298158603498751, 1.629999839423404, 1.6216380810980875, 1.6234402072324294, 1.6247356089662126, 1.6276261818513365, 1.635528272105262, 1.6302097046443584, 1.6319223435858021, 1.6352886363505328, 1.6276992650142887, 1.632849605256958, 1.6240054698429387, 1.624712539332926, 1.6382292269164684, 1.6230630088060092, 1.629332934690564, 1.6290129889264422, 1.623139020329669, 1.622014384192331, 1.6144521844332649, 1.6223468534183345, 1.6236791402076813]","[1.936193672925228, 1.8417430483758683, 1.7914747251575973, 1.7620913114848706, 1.7412180505505377, 1.7327294370827309, 1.7209572321063338, 1.7125781345492659, 1.7063175618579283, 1.6989808465165683, 1.6904318209711782, 1.6863007138474193, 1.6839569200542006, 1.680523147981505, 1.680179386906248, 1.6756491541786562, 1.6771111207259786, 1.672419255612263, 1.6715137070633086, 1.6671292445898334, 1.669702148990395, 1.6691934860934474, 1.666016969617406, 1.6652058722956382, 1.665169048678506, 1.6599338224841442, 1.6665268551386034, 1.6609143698797373, 1.6615930107548245, 1.6576580362503994, 1.6588513833760967, 1.6583075090107289, 1.6523542684831594, 1.6542297156390742, 1.654127231871037, 1.6544879763419784, 1.6538500688227793, 1.6513931081272006, 1.652665312930815, 1.6532238409023556, 1.6529700124061402, 1.6515948415849022, 1.6469330758687568, 1.648212623165671, 1.648879119908999, 1.6502506117518063, 1.645880180354917, 1.6441711909998808, 1.6467384370603766, 1.6476137273074185]",0.423,0.41729021464638805,0.42329121621354265,0.4160238525326553,76.23735976219177,
8,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.094033394120533, 1.8517098864920398, 1.7883874483922497, 1.7653416949512013, 1.7417656412309035, 1.720589622488929, 1.7017398277426383, 1.7025323597684665, 1.6857631889704747, 1.6878296602309184, 1.68246305818086, 1.668994904295044, 1.6596251195785992, 1.6745788799862946, 1.6589677035391428, 1.6622758037052354, 1.6549297547014565, 1.649524493600243, 1.6492225855681941, 1.6599963313130435, 1.6418668555472635, 1.6471340687454041, 1.6367406428019018, 1.6372133297881244, 1.6315686596324428, 1.6390190226315384, 1.632539490362553, 1.6392646620336004, 1.619424372049559, 1.6295536804780726, 1.627122539079517, 1.632382960722369, 1.6265124016692822, 1.6230411665749371, 1.649654692908559, 1.6302809445781827, 1.6259608733683262, 1.6212463578542298, 1.6127641114368292, 1.622109638275468, 1.6191934746349494, 1.6221960047559392, 1.6120587828854829, 1.6141283079068671, 1.615955126978765, 1.6150018358103835, 1.6253914610207214, 1.6271470548396787, 1.6074637351378638, 1.6123840147803046]","[1.9550565037699292, 1.8637771933076452, 1.8181672633696349, 1.7857526908184642, 1.7657521331371333, 1.7510291335984882, 1.739370333523339, 1.7324988956635106, 1.7244273535480565, 1.717103923347648, 1.7108831861374165, 1.7085125861818085, 1.7023924914059054, 1.7042469446906587, 1.7041436623352544, 1.697463976195066, 1.698608475200506, 1.6934377215137526, 1.6874474197091964, 1.6872051637019803, 1.6824906874106909, 1.6806799857487247, 1.6766641733444616, 1.6755138486145442, 1.6753207294581312, 1.6744519196797456, 1.6735442931379225, 1.671799226287955, 1.6713457030841186, 1.6703705201849217, 1.6719629718775446, 1.6720724665367481, 1.6681877220623311, 1.6739338848870045, 1.6683946578072464, 1.6700441642232835, 1.6663473103362783, 1.6625463160320255, 1.6636465109393626, 1.662058464874138, 1.6639091910543073, 1.6657882527183268, 1.6614579407394752, 1.6596256917299288, 1.658630174927129, 1.656991470472503, 1.6595444003751865, 1.6578459292582288, 1.6573802906712185, 1.6572043433781747]",0.433,0.42966489347082615,0.4330651304288389,0.42455886564896594,76.05476880073547,
9,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.0982500549824326, 1.8762656602268777, 1.8023500673933939, 1.769586745007801, 1.7393070948524665, 1.7205379319161604, 1.7147524102868434, 1.7083650732892728, 1.6871451132721458, 1.6886765517501459, 1.6775956513486519, 1.673756963983787, 1.6828260912667528, 1.6623656932046, 1.6688090642543043, 1.6598942097273404, 1.657935373083436, 1.6508435176340877, 1.6487381410760598, 1.6484062478952213, 1.6389553245313466, 1.6460894151492271, 1.6390361713336474, 1.6470988063944492, 1.6372512115032976, 1.6445571995033779, 1.6414969460491646, 1.64307887634822, 1.631023419985408, 1.6251616890145333, 1.6405053673003154, 1.6321384109696926, 1.6295180297485439, 1.6402555354030997, 1.6308185108834476, 1.6266510719512006, 1.6179001389580527, 1.634023346245023, 1.6236863432032524, 1.6292921211585352, 1.625288542574386, 1.618449357291162, 1.6256716328562948, 1.6317666715603685, 1.6148429360345946, 1.6250012954873405, 1.6216414260463712, 1.6159072216174633, 1.6243472271263864, 1.615151233689101]","[1.9396632187893004, 1.84328007125891, 1.7901589014849217, 1.7642770761512576, 1.7445274879637065, 1.7296203226124847, 1.717031837328356, 1.7116230689415028, 1.6968031126998153, 1.6984477869942978, 1.6900565831454208, 1.68534955363226, 1.683364322002881, 1.6773700690813338, 1.6739351445813277, 1.6755424451623213, 1.668901385358179, 1.6690570342767217, 1.6653461597512524, 1.6644689153865306, 1.6634232266263622, 1.6621928065679832, 1.6594917076445859, 1.6595143027712118, 1.6573693037300927, 1.6598706872240043, 1.6569191900676248, 1.6565973224993529, 1.6508884954893437, 1.6530780864201742, 1.6502040372514424, 1.6496362942784115, 1.6469272180615597, 1.6484193896792705, 1.6493088708185994, 1.6502984349283354, 1.6466549878256243, 1.643689850885328, 1.645336947361075, 1.6455722967342394, 1.6462545383461609, 1.644713651302435, 1.6444205467104176, 1.6401380749163819, 1.641318304694492, 1.6412775174355612, 1.6406091686561435, 1.6389869593610296, 1.6395820859161574, 1.6387074495436094]",0.4328,0.4301687863289792,0.4335422040003543,0.4256722913335362,78.2338719367981,
10,"{""epochs"": 50, ""lr"": 0.0001, ""bn"": 0, ""batch_size"": 4, ""dropout_rate"": [0, 0, 0], ""hidden_layers"": [128, 64, 10], ""activations"": [""None"", ""ReLU"", ""softmax""], ""input_size"": 128, ""weight_decay"": 0, ""optimiser"": ""SGD"", ""early_stopping"": [50, 0.001]}","[2.1407731458772714, 1.8813417187847337, 1.8129867678972733, 1.767223342805108, 1.729671827405662, 1.7211022667116378, 1.7222327814978318, 1.6948779236415232, 1.6901910638831799, 1.6718427937546894, 1.6732000777612368, 1.675491867474553, 1.6564080234786, 1.660928643680439, 1.6457782735067354, 1.6570086481032105, 1.6542531596393175, 1.6445925834279307, 1.6467346007805246, 1.6353735893698014, 1.6351236177383173, 1.64482657506758, 1.6310306900345495, 1.6361117870091102, 1.630653298998458, 1.6322356695612898, 1.6478937257804218, 1.6324989639905316, 1.6390957384312603, 1.6300376405038286, 1.6398823417422892, 1.6287110092682588, 1.621582452604255, 1.6324179922084618, 1.635044230927776, 1.6264285492299344, 1.6297277747189074, 1.6340461756793174, 1.6322041991569842, 1.6275186855784427, 1.621127724100024, 1.62130224722233, 1.6122004928253901, 1.6163791447343085, 1.6143953800244932, 1.61587193941739, 1.6196975131965818, 1.6262505820881714, 1.6252884899114814, 1.623290724275951]","[1.981056907750652, 1.8629933198260726, 1.807942116108497, 1.7733505005260006, 1.7545347019590611, 1.736849966054311, 1.7263571093733243, 1.7118779169783902, 1.702234096708391, 1.6946815629009055, 1.6936360781665076, 1.6863838989247852, 1.684557909999763, 1.6797102195664046, 1.6763438772866073, 1.6744770392498212, 1.673969568221199, 1.6680324588135775, 1.6683163233566636, 1.6615908825760515, 1.6633207023879513, 1.6614527944353668, 1.6578570410939304, 1.6584010214283775, 1.6580635767108547, 1.6564244169341502, 1.657838490313493, 1.6560687711015758, 1.6550975523176015, 1.6541588831928387, 1.6541461384512943, 1.6512016570042405, 1.6519355970843106, 1.650127842102931, 1.651078987013944, 1.6500544525009073, 1.6498027178332624, 1.648626069499946, 1.649639691998176, 1.6494239825274148, 1.6442102461629893, 1.6479240901848817, 1.6487232446787097, 1.6436981734973466, 1.6467590465832287, 1.6461238695604257, 1.6475294073992408, 1.643998264995082, 1.6419639534331512, 1.64639169607126]",0.4308,0.4246292952515291,0.4291815316494212,0.420457515062359,77.97171688079834,
