Train Loss,Val Loss,Val Accuracy,Val Recall,Val F1,Learning Rate,Batch Size,Optimizer,Batch Norm,Weight Decay,Dropout,Hidden Layers,Time Taken Test,Time Taken CV,Train Losses CV,Val Losses CV
0.887,2.445,0.3345,0.3339,0.328,0.001,16,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",44.94643211364746,7.341460466384888,"[1.08968935 0.85195881 0.7839007  0.76715079 0.83203941 0.86109408
 0.80144913 0.76886738 0.7938213  0.8007348  0.7766607  0.8261949
 0.75077402 0.73592919 0.74057739 0.80935836 0.88702622]","[2.43255518 2.65157924 2.58872921 2.65259789 2.82413285 2.52525819
 2.37402806 2.72119987 2.5935579  2.43105697 2.65825362 2.74914109
 2.79973706 2.70265041 2.77246222 2.52974184 2.4449969 ]"
0.7875,2.8226,0.3285,0.3278,0.3216,0.001,16,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",44.94643211364746,5.207903861999512,"[1.16864997 0.83094519 0.77864013 0.75048094 0.7338241  0.7412139
 0.76163685 0.79152834 0.79233372 0.77718068 0.78747489]","[2.37686922 2.69888688 2.40275744 2.67837487 2.59412509 2.72507424
 2.66194927 2.48634467 2.86202276 2.62653769 2.82257873]"
0.8387,2.444,0.3543,0.3553,0.3483,0.001,16,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",44.94643211364746,12.882838249206543,"[1.10387121 0.85092035 0.84900634 0.82519899 0.81434482 0.86660555
 0.82338981 0.8741516  0.88989443 0.81985009 0.8450178  0.82670723
 0.89322457 0.86100366 0.82216679 0.85263576 0.8364406  0.8411375
 0.80144815 0.81045413 0.81881944 0.76679756 0.72015986 0.77347088
 0.82125371 0.78636672 0.79119847 0.85921477 0.81728406 0.83871676]","[2.55578489 2.83038283 2.8388073  2.66537346 2.57184946 2.60470717
 2.51113164 2.54975784 2.4740541  2.39063167 2.82292645 2.46458661
 2.79743794 2.65963189 2.55646227 2.79618563 2.75415686 2.58779666
 2.68521979 2.38875741 2.48890803 2.65046618 2.82316844 2.61356144
 2.53531523 3.04547695 2.70598989 2.58010646 2.59682098 2.44399314]"
0.8207,2.476,0.3481,0.3486,0.3444,0.001,16,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",44.94643211364746,5.0897650718688965,"[1.1220694  0.83685471 0.80949614 0.79461505 0.76443107 0.80605937
 0.72990847 0.7469278  0.81068769 0.77059795 0.81031228 0.82074423]","[2.63765677 2.46723979 2.59291794 2.49196587 2.65179792 2.61824791
 2.60625282 2.47620027 2.73042474 2.82595488 2.64413075 2.47603133]"
0.7601,2.7585,0.3573,0.3562,0.3531,0.001,16,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",44.94643211364746,14.252949237823486,"[1.08681177 0.83286787 0.75337692 0.78329535 0.72931326 0.72136465
 0.75084224 0.77762603 0.73831347 0.7587615  0.75190624 0.72457103
 0.71253951 0.77660488 0.75461663 0.7777416  0.82842499 0.76603277
 0.74266643 0.74720217 0.79810973 0.74123052 0.81371975 0.7577177
 0.75445139 0.77013021 0.83772019 0.72008844 0.77622088 0.78959429
 0.75193602 0.80021608 0.76007248]","[2.5906396  2.7842115  2.91768711 2.68811519 2.81373007 2.69626841
 2.69554497 2.7748749  2.95093168 2.53396693 2.83228736 2.59719246
 2.37917154 2.76370988 2.61441016 2.61170662 2.81310279 2.76517208
 2.75230028 2.65787982 2.6178507  2.7117396  2.3255295  2.71049249
 2.64489577 2.66696558 2.77434367 2.85026864 2.52873834 2.74749955
 2.65539816 2.70358998 2.75852515]"
0.8672,1.9662,0.3933,0.3938,0.3872,0.001,8,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",88.59893441200256,10.185007572174072,"[1.46224304 1.23716837 1.15078308 1.05813774 0.99868126 0.98105956
 0.9425197  0.91278505 0.93926738 0.9124925  0.90152274 0.8944305
 0.91297073 0.86717954]","[2.16738513 2.05795215 2.08520431 1.88581166 1.94685209 2.20368235
 2.05014486 2.17696568 2.03971364 2.04318845 2.07505761 2.10217962
 2.0495362  1.96615339]"
0.7831,2.1505,0.3962,0.3946,0.3979,0.001,8,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",88.59893441200256,28.7112078666687,"[1.50532737 1.22439358 1.1347157  1.06962773 1.06558467 0.98455655
 1.01114065 0.95645822 0.91820796 0.91495696 0.91995949 0.88616585
 0.86392803 0.85900713 0.89606358 0.85165269 0.83554719 0.83882374
 0.860641   0.84343937 0.8228638  0.82607218 0.8065152  0.81467739
 0.80253389 0.82763312 0.84044662 0.80536201 0.76174056 0.77434921
 0.79187384 0.78311359]","[2.15850308 2.1037759  2.11843372 2.01896102 2.02206174 2.07954959
 2.24408067 2.04351676 2.05525581 2.00557363 2.00405589 2.14287107
 2.14491432 2.12880178 2.06356216 2.29534635 2.18373914 2.00165182
 2.03381342 2.01104979 2.06062732 1.91465325 1.97966988 2.01312541
 1.93753202 2.06780454 2.068724   2.10948672 2.08491994 2.11406109
 2.08875958 2.15053763]"
0.8112,2.0647,0.4118,0.4117,0.4055,0.001,8,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",88.59893441200256,27.357091665267944,"[1.5071836  1.19053532 1.13347609 1.08071116 1.03360943 1.01705199
 0.96505625 0.91832653 0.91899774 0.89914493 0.87955583 0.9013761
 0.8953868  0.87451438 0.84712612 0.82105619 0.82807871 0.87981882
 0.81101164 0.85646568 0.852626   0.82477519 0.82615044 0.82487005
 0.81412398 0.78774857 0.76249915 0.7549304  0.76851324 0.77759662
 0.77154335 0.77120763 0.81119938]","[2.13261485 2.02690245 2.07592097 2.14546087 2.06375049 2.13539869
 2.05387908 2.08874408 2.23456705 2.09803362 2.11913661 1.99535788
 2.03746068 2.12393511 2.10425114 2.0014358  2.17386029 2.01898641
 2.1044881  2.11453464 1.98507432 2.14395905 1.96512974 2.10504709
 2.32688052 2.12035482 2.1612905  2.15828539 2.01529646 2.17962699
 2.00704109 2.11470584 2.064689  ]"
0.8602,2.1215,0.3754,0.3766,0.3741,0.001,8,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",88.59893441200256,10.143160581588745,"[1.48827271 1.20583215 1.10622362 1.07122564 1.03460078 0.98162913
 0.95469125 0.95127854 0.98505341 0.91586024 0.90734726 0.89568507
 0.87237961 0.86020529]","[2.04299353 2.10786439 1.94500265 1.92819872 2.22846093 2.08325454
 2.09038679 2.0864582  2.03853659 1.99510513 2.00229662 2.09130372
 1.93285705 2.12153856]"
0.8592,2.1274,0.4006,0.3991,0.3882,0.001,8,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",88.59893441200256,12.031495332717896,"[1.47846029 1.23016972 1.06809025 1.07148395 1.03485673 1.03243681
 1.01462021 0.95836254 0.97967527 0.9758217  0.95765099 0.91173597
 0.88650225 0.92498425 0.84947307 0.85919924]","[1.97913618 2.02189039 2.08140553 2.22867565 1.95476039 1.87575576
 2.0165779  2.06928376 2.11882579 2.06568841 2.04897686 2.1182006
 1.98109801 2.11055808 2.19239676 2.12743038]"
