Hidden Layers,Learning Rate,Batch Size,Optimizer,Batch Norm,Weight Decay,Dropout,Train Loss,Val Loss,Val Accuracy,Val Recall,Val F1,Time Taken Test,Time Taken CV,Train Losses CV,Val Losses CV
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2103161156837884,4.869720089756801,0.3013,0.30283274515156783,0.2973284921868782,22.20378279685974,4.452063322067261,"[0.44501526 0.25939845 0.22971644 0.18826577 0.21750775 0.19921756
 0.20097132 0.20932956 0.17689929 0.2185675  0.21031612]","[3.61193787 4.20486876 4.52020392 4.50699011 4.07671076 4.52653231
 4.59159231 4.2586533  4.7887666  4.82611126 4.86972009]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.0, 0.0, 0.0]",0.20147327289853992,4.6857834783019925,0.2953,0.2941916305038781,0.29321567569058826,22.20378279685974,4.425532579421997,"[0.42935668 0.26274301 0.19707599 0.22045798 0.1872049  0.17414289
 0.19619784 0.20288637 0.20609363 0.21221311 0.20147327]","[4.03341833 4.06199212 4.31745061 4.53413197 4.62480674 4.61839751
 4.74898579 4.88971179 4.79793281 4.62108512 4.68578348]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.0, 0.0, 0.0]",0.22719247918636012,5.441433565675685,0.3072,0.308163557921206,0.302200331841194,22.20378279685974,4.457477807998657,"[0.45587364 0.2266212  0.19850681 0.22222016 0.19692727 0.19328666
 0.18441681 0.25188665 0.22842377 0.22594507 0.22719248]","[3.89714347 4.31093088 4.22254664 4.45132903 4.87749223 4.69051396
 4.39499716 4.56168772 4.82193165 4.67253559 5.44143357]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2311251048400751,4.823102196456078,0.3042,0.304617339710176,0.29716117889247706,22.20378279685974,4.368416786193848,"[0.43488154 0.22466168 0.20001675 0.20497441 0.17969057 0.19063712
 0.19496725 0.18910765 0.15568273 0.18052122 0.2311251 ]","[3.76073501 4.05431409 4.32747131 4.17792491 4.52046412 4.76906951
 4.67849958 4.42130536 4.94203416 5.17065636 4.8231022 ]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.0, 0.0, 0.0]",0.18035950941417583,4.706775615987163,0.3162,0.3154607662424656,0.3125215607616675,22.20378279685974,4.339293956756592,"[0.40963795 0.22255206 0.21771868 0.23599757 0.19320122 0.1918108
 0.17500739 0.20997704 0.18380801 0.21413222 0.18035951]","[3.78407059 4.38020852 4.98159731 4.33266142 4.48965502 4.63909635
 4.84118255 4.57872802 4.84508675 4.62327815 4.70677562]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.2, 0.2, 0.0]",0.8386564140281684,3.214386987930392,0.3129,0.3140505323282615,0.3094675721192068,22.88575506210327,4.592310905456543,"[0.89509716 0.70310387 0.74000997 0.70318918 0.70106727 0.72146092
 0.74493945 0.71012613 0.83508678 0.80499928 0.83865641]","[2.88446093 3.03898068 3.1980219  3.12901626 3.5017263  3.2966857
 3.43242272 3.4335382  3.37106387 3.3579084  3.21438699]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.2, 0.2, 0.0]",0.9054068584984477,3.257328586650902,0.3048,0.3045920301310349,0.29997126824285003,22.88575506210327,4.587988376617432,"[0.90431263 0.74856985 0.67496087 0.75782407 0.70669254 0.72841251
 0.74127673 0.8026781  0.78814614 0.85318403 0.90540686]","[2.73628836 3.0367196  3.22552234 3.32239375 3.43539025 3.28693958
 3.44283465 3.21501128 3.17189501 2.95491544 3.25732859]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.2, 0.2, 0.0]",0.9419068095880803,3.1293090419568204,0.3264,0.3267645257096444,0.32017978152745313,22.88575506210327,4.485408306121826,"[0.89664564 0.76321672 0.74592208 0.74985346 0.80659954 0.79408405
 0.83461699 0.81304188 0.82864281 0.86778008 0.94190681]","[2.78032453 3.01443503 3.15872712 3.17686259 3.18625767 3.11534082
 3.23689405 3.31129236 2.95152603 3.19861708 3.12930904]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.2, 0.2, 0.0]",0.8906012580444619,3.061481826052882,0.3165,0.31670659180124605,0.3093951652540304,22.88575506210327,4.505080699920654,"[0.92964205 0.70141393 0.68910029 0.79479734 0.74051292 0.76955426
 0.75721536 0.75349708 0.88234598 0.83142466 0.89060126]","[2.68671211 3.16998132 3.2993011  3.17082155 3.06637703 3.09667775
 3.40280024 3.37913409 3.29746141 3.33290097 3.06148183]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.2, 0.2, 0.0]",0.8348811960399942,3.273519571300328,0.3211,0.32026033349003186,0.31603898666806823,22.88575506210327,4.533794403076172,"[0.98609501 0.74354084 0.77412537 0.8164357  0.80136202 0.81169444
 0.84055631 0.93887096 0.92516477 0.86864662 0.8348812 ]","[2.69815314 2.80829817 2.99739479 3.03998911 3.0647528  3.40916631
 3.0489841  3.07342335 2.99673201 3.31445764 3.27351957]"
